idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
none,NONE,null,5,6,3,65,0.0,0.0,0,0
3,Naïve,OR,3,5,12,13,141,14.0,2.0,0,0
3,OnlySelec,OR,3,5,12,13,141,14.0,2.0,0,26
3,ATGT,OR,3,5,11,11,134,12.0,2.0,0,6589
3,Espresso,OR,3,4,11,16,134,16.0,2.0,0,135
3,JBool,OR,3,4,7,11,80,11.0,2.0,0,70
4,Naïve,AND,2,5,8,7,93,5.0,3.0,0,0
4,OnlySelec,AND,2,5,8,7,91,5.0,0.0,1,0
4,ATGT,AND,2,5,8,7,91,5.0,0.0,1,1176
4,Espresso,AND,2,5,8,8,91,7.0,0.0,0,52
4,JBool,AND,2,5,8,7,92,7.0,0.0,1,2
5,Naïve,AND,1,5,7,6,75,3.0,2.0,0,0
5,OnlySelec,AND,1,5,7,6,77,4.0,0.0,1,0
5,ATGT,AND,1,4,5,7,64,7.0,0.0,1,1124
5,Espresso,AND,1,4,6,6,68,4.0,0.0,0,53
5,JBool,AND,1,4,5,5,60,5.0,0.0,0,3
6,Naïve,OR,3,5,12,11,133,12.0,2.0,0,0
6,OnlySelec,OR,3,5,12,11,133,12.0,2.0,0,40
6,ATGT,OR,3,5,9,7,100,7.0,2.0,0,2337
6,Espresso,OR,3,4,11,14,126,14.0,2.0,0,166
6,JBool,OR,3,4,7,10,76,10.0,2.0,0,32
7,Naïve,AND,2,5,8,6,92,4.0,3.0,0,0
7,OnlySelec,AND,2,5,8,6,92,4.0,0.0,1,0
7,ATGT,AND,2,3,4,4,51,4.0,-1.0,1,1689
7,Espresso,AND,2,4,7,8,87,6.0,0.0,0,61
7,JBool,AND,2,3,4,4,51,4.0,-1.0,0,1
8,Naïve,AND,3,5,9,9,93,7.0,4.0,0,0
8,OnlySelec,AND,3,5,9,9,95,7.0,1.0,0,0
8,ATGT,AND,3,5,9,9,95,7.0,1.0,0,1277
8,Espresso,AND,3,4,8,11,90,9.0,1.0,0,65
8,JBool,AND,3,4,8,10,89,10.0,1.0,1,3
9,Naïve,AND,2,5,8,7,86,5.0,3.0,0,0
9,OnlySelec,AND,2,5,8,7,86,5.0,0.0,0,0
9,ATGT,AND,2,5,8,7,86,5.0,0.0,0,1250
9,Espresso,AND,2,4,7,9,81,7.0,0.0,0,54
9,JBool,AND,2,4,7,9,81,9.0,0.0,0,3
10,Naïve,AND,4,5,10,10,109,8.0,5.0,0,0
10,OnlySelec,AND,4,5,10,10,113,8.0,1.0,0,0
10,ATGT,AND,4,5,10,10,113,8.0,1.0,1,1197
10,Espresso,AND,4,4,9,12,108,10.0,1.0,0,52
10,JBool,AND,4,4,9,12,108,12.0,1.0,1,1
11,Naïve,OR,3,5,12,11,139,12.0,2.0,0,0
11,OnlySelec,OR,3,5,12,11,139,12.0,2.0,0,29
11,ATGT,OR,3,5,9,7,103,7.0,2.0,0,2328
11,Espresso,OR,3,4,11,14,132,14.0,2.0,0,133
11,JBool,OR,3,5,7,9,76,15.0,-1.0,0,29
12,Naïve,AND,2,5,8,7,83,5.0,3.0,0,0
12,OnlySelec,AND,2,5,8,7,83,5.0,1.0,0,0
12,ATGT,AND,2,5,8,7,83,5.0,1.0,0,1098
12,Espresso,AND,2,4,7,9,78,7.0,1.0,1,51
12,JBool,AND,2,4,7,9,78,9.0,1.0,1,1
13,Naïve,AND,4,5,10,9,108,7.0,5.0,0,0
13,OnlySelec,AND,4,5,10,9,112,7.0,1.0,1,0
13,ATGT,AND,4,5,10,9,112,7.0,1.0,1,1087
13,Espresso,AND,4,4,9,11,107,9.0,1.0,0,53
13,JBool,AND,4,4,9,11,107,10.0,1.0,0,1
14,Naïve,AND,1,5,7,5,77,2.0,2.0,0,0
14,OnlySelec,AND,1,5,7,5,77,3.0,0.0,0,0
14,ATGT,AND,1,4,5,6,61,3.0,0.0,0,1138
14,Espresso,AND,1,4,6,7,72,5.0,0.0,0,55
14,JBool,AND,1,4,5,6,61,5.0,0.0,1,1
15,Naïve,AND,1,5,7,6,85,3.0,2.0,0,0
15,OnlySelec,AND,1,5,7,6,87,4.0,0.0,0,0
15,ATGT,AND,1,4,5,7,64,7.0,0.0,0,1118
15,Espresso,AND,1,4,6,6,78,4.0,0.0,1,52
15,JBool,AND,1,4,5,5,60,5.0,0.0,0,1
16,Naïve,AND,3,5,9,9,93,7.0,4.0,0,0
16,OnlySelec,AND,3,5,9,9,95,7.0,1.0,0,0
16,ATGT,AND,3,5,9,9,95,7.0,1.0,0,1091
