id,idconf,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
1,1,Naive,AND,1,6,14,20,198,2.0,1.0,0,0,0
2,1,onlySelection,AND,1,6,14,20,198,2.0,1.0,0,0,0
3,1,ATGT,AND,1,6,13,18,173,0.0,0.0,0,1028,1028
4,1,Espresso,AND,1,6,14,20,198,2.0,1.0,1,39,40
5,1,JBool,AND,1,6,13,18,173,0.0,0.0,0,0,0
6,1,QM,AND,1,6,13,18,173,0.0,0.0,0,32,32
7,1,Naive,OR,1,7,18,23,268,10.0,5.0,0,0,0
8,1,onlySelection,OR,1,7,18,23,268,10.0,5.0,0,0,0
9,1,ATGT,OR,1,7,18,23,268,10.0,5.0,0,5225,5225
10,1,Espresso,OR,1,6,17,26,255,14.0,5.0,0,254,254
11,1,JBool,OR,1,6,17,26,255,14.0,5.0,0,15,15
12,1,QM,OR,1,6,17,26,255,26.0,5.0,0,116,116
13,2,Naive,AND,2,6,15,23,207,5.0,2.0,0,0,0
14,2,onlySelection,AND,2,6,15,23,207,5.0,2.0,0,0,0
15,2,ATGT,AND,2,6,15,23,207,5.0,2.0,0,1051,1051
16,2,Espresso,AND,2,5,14,25,202,7.0,2.0,1,47,48
17,2,JBool,AND,2,5,14,25,202,7.0,2.0,0,0,0
18,2,QM,AND,2,5,16,25,238,13.0,4.0,0,34,34
19,2,Naive,OR,2,7,23,38,393,30.0,10.0,0,0,0
20,2,onlySelection,OR,2,7,23,38,393,30.0,10.0,0,0,0
21,2,ATGT,OR,2,7,22,36,382,27.0,9.0,0,5259,5259
22,2,Espresso,OR,2,6,22,41,380,33.0,10.0,0,273,273
23,2,JBool,OR,2,6,21,39,369,30.0,9.0,0,4,4
24,2,QM,OR,2,6,21,39,369,38.0,9.0,0,134,134
25,3,Naive,AND,3,8,16,24,234,6.0,3.0,0,0,0
26,3,onlySelection,AND,3,8,16,24,236,6.0,3.0,1,0,1
27,3,ATGT,AND,3,8,16,24,236,6.0,3.0,0,1058,1058
28,3,Espresso,AND,3,7,15,26,231,8.0,3.0,1,48,49
29,3,JBool,AND,3,7,15,26,231,8.0,3.0,0,0,0
30,3,QM,AND,3,7,17,28,259,15.0,5.0,0,31,31
31,3,Naive,OR,3,8,28,43,470,35.0,15.0,0,0,0
32,3,onlySelection,OR,3,8,28,43,470,35.0,15.0,0,0,0
33,3,ATGT,OR,3,8,27,41,461,33.0,14.0,0,5502,5502
34,3,Espresso,OR,3,7,27,46,457,38.0,15.0,0,316,316
35,3,JBool,OR,3,7,28,46,472,38.0,16.0,0,6,6
36,3,QM,OR,3,7,26,44,446,43.0,14.0,0,198,198
37,4,Naive,AND,4,10,17,24,291,6.0,4.0,0,0,0
38,4,onlySelection,AND,4,10,17,24,295,6.0,4.0,1,0,1
39,4,ATGT,AND,4,10,17,24,295,6.0,4.0,0,1194,1194
40,4,Espresso,AND,4,9,16,26,290,8.0,4.0,1,58,59
41,4,JBool,AND,4,9,16,26,290,8.0,4.0,0,2,2
42,4,QM,AND,4,10,17,24,295,6.0,4.0,0,5002,5002
43,4,Naive,OR,4,7,33,48,567,40.0,20.0,0,0,0
44,4,onlySelection,OR,4,7,33,48,567,40.0,20.0,0,0,0
45,4,ATGT,OR,4,7,27,40,453,30.0,14.0,0,5243,5243
46,4,Espresso,OR,4,6,32,51,554,43.0,20.0,0,288,288
47,4,JBool,OR,4,6,34,59,568,54.0,22.0,0,0,0
48,4,QM,OR,4,6,26,43,442,43.0,14.0,0,178,178
49,5,Naive,AND,5,9,18,26,278,8.0,5.0,0,0,0
50,5,onlySelection,AND,5,9,18,26,284,8.0,5.0,0,0,0
51,5,ATGT,AND,5,9,18,26,284,8.0,5.0,0,1123,1123
52,5,Espresso,AND,5,8,17,28,279,10.0,5.0,1,49,50
53,5,JBool,AND,5,8,17,28,279,10.0,5.0,0,0,0
54,5,QM,AND,5,8,22,38,339,25.0,10.0,0,425,425
55,5,Naive,OR,5,7,38,58,549,50.0,25.0,0,0,0
56,5,onlySelection,OR,5,7,38,58,549,50.0,25.0,0,0,0
57,5,ATGT,OR,5,7,18,26,247,10.0,5.0,0,5440,5440
58,5,Espresso,OR,5,6,37,61,536,53.0,25.0,0,263,263
59,5,JBool,OR,5,6,17,29,240,16.0,5.0,0,0,0
60,5,QM,OR,5,6,17,29,240,26.0,5.0,0,121,121
61,6,Naive,AND,6,9,19,29,282,11.0,6.0,0,0,0
62,6,onlySelection,AND,6,9,19,29,290,11.0,6.0,0,0,0
63,6,ATGT,AND,6,9,19,29,290,11.0,6.0,0,1071,1071
64,6,Espresso,AND,6,8,18,31,285,13.0,6.0,1,51,53
65,6,JBool,AND,6,8,18,31,285,13.0,6.0,1,0,1
66,6,QM,AND,6,9,19,29,290,11.0,6.0,1,5014,5016
67,6,Naive,OR,6,8,43,63,641,55.0,30.0,0,0,0
68,6,onlySelection,OR,6,8,43,63,641,55.0,30.0,0,0,0
69,6,ATGT,OR,6,8,23,34,339,20.0,10.0,0,5318,5318
70,6,Espresso,OR,6,7,42,66,628,59.0,30.0,0,270,270
71,6,JBool,OR,6,7,29,50,445,44.0,17.0,0,0,0
