id,idconf,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
1,1,Naive,AND,1,4,6,4,33,2.0,1.0,0,0,0
2,1,onlySelection,AND,1,4,6,4,33,2.0,1.0,0,0,0
3,1,ATGT,AND,1,3,4,5,22,3.0,0.0,0,1049,1049
4,1,Espresso,AND,1,3,5,6,28,4.0,1.0,1,48,49
5,1,JBool,AND,1,3,4,5,22,3.0,0.0,0,31,31
6,1,QM,AND,1,3,4,5,22,3.0,0.0,0,31,31
7,1,Naive,OR,1,4,7,4,38,4.0,2.0,0,0,0
8,1,onlySelection,OR,1,4,7,4,38,4.0,2.0,0,0,0
9,1,ATGT,OR,1,4,6,4,32,4.0,1.0,0,2088,2088
10,1,Espresso,OR,1,3,6,7,31,6.0,2.0,0,115,115
11,1,JBool,OR,1,3,5,6,27,5.0,1.0,0,0,0
12,1,QM,OR,1,3,5,6,27,5.0,1.0,0,53,53
13,2,Naive,AND,2,4,7,7,41,5.0,2.0,0,0,0
14,2,onlySelection,AND,2,4,7,7,41,5.0,2.0,0,0,0
15,2,ATGT,AND,2,4,7,7,41,5.0,2.0,0,1034,1034
16,2,Espresso,AND,2,3,6,9,36,7.0,2.0,0,41,42
17,2,JBool,AND,2,3,6,6,33,5.0,2.0,0,0,0
18,2,QM,AND,2,3,5,5,27,4.0,1.0,0,31,31
19,2,Naive,OR,2,4,9,10,54,12.0,4.0,0,0,0
20,2,onlySelection,OR,2,4,9,10,54,12.0,4.0,0,0,0
21,2,ATGT,OR,2,4,7,6,40,6.0,2.0,0,2120,2120
22,2,Espresso,OR,2,3,8,13,47,14.0,4.0,0,100,100
23,2,JBool,OR,2,3,6,9,33,8.0,2.0,0,0,0
24,2,QM,OR,2,3,6,9,33,8.0,2.0,0,54,54
25,3,Naive,AND,3,4,8,8,45,6.0,3.0,0,0,0
26,3,onlySelection,AND,3,4,8,8,47,6.0,3.0,0,0,0
27,3,ATGT,AND,3,4,5,2,26,0.0,0.0,0,1049,1049
28,3,Espresso,AND,3,3,7,10,42,8.0,3.0,0,44,44
29,3,JBool,AND,3,3,4,4,21,2.0,0.0,0,0,0
30,3,QM,AND,3,3,4,4,21,2.0,0.0,0,36,36
31,3,Naive,OR,3,4,11,12,64,14.0,6.0,0,0,0
32,3,onlySelection,OR,3,4,11,12,64,14.0,6.0,0,0,0
33,3,ATGT,OR,3,4,8,7,46,8.0,3.0,0,2098,2098
34,3,Espresso,OR,3,3,10,15,57,16.0,6.0,0,100,100
35,3,JBool,OR,3,3,6,9,33,8.0,2.0,0,0,0
36,3,QM,OR,3,3,6,9,33,8.0,2.0,0,53,53
37,4,Naive,AND,1,4,6,4,33,2.0,1.0,0,0,0
38,4,onlySelection,AND,1,4,6,4,33,2.0,1.0,0,0,0
39,4,ATGT,AND,1,2,3,3,17,2.0,-1.0,0,1050,1050
40,4,Espresso,AND,1,3,5,6,28,4.0,1.0,0,41,41
41,4,JBool,AND,1,2,3,3,17,2.0,-1.0,0,0,0
42,4,QM,AND,1,2,3,3,17,2.0,-1.0,0,31,31
43,4,Naive,OR,1,4,7,4,38,4.0,2.0,0,0,0
44,4,onlySelection,OR,1,4,7,4,38,4.0,2.0,0,0,0
45,4,ATGT,OR,1,1,4,5,21,6.0,0.0,0,2073,2073
46,4,Espresso,OR,1,3,6,7,31,6.0,2.0,0,100,100
47,4,JBool,OR,1,1,2,1,15,6.0,-2.0,0,0,0
48,4,QM,OR,1,1,2,1,15,6.0,-2.0,0,62,62
49,5,Naive,AND,2,4,7,7,41,5.0,2.0,0,0,0
50,5,onlySelection,AND,2,4,7,7,39,5.0,2.0,0,0,0
51,5,ATGT,AND,2,4,6,6,32,4.0,1.0,0,1040,1040
52,5,Espresso,AND,2,4,7,8,39,7.0,2.0,0,48,48
53,5,JBool,AND,2,4,7,5,38,5.0,2.0,0,0,0
54,5,QM,AND,2,4,4,1,19,2.0,-1.0,0,31,31
55,5,Naive,OR,2,4,9,8,52,10.0,4.0,0,0,0
56,5,onlySelection,OR,2,4,9,8,52,10.0,4.0,0,0,0
57,5,ATGT,OR,2,4,5,2,26,0.0,0.0,0,2102,2102
58,5,Espresso,OR,2,3,8,11,45,12.0,4.0,0,118,118
59,5,JBool,OR,2,3,4,5,21,4.0,0.0,0,0,1
60,5,QM,OR,2,3,4,5,21,4.0,0.0,0,47,47
61,6,Naive,AND,2,4,7,7,41,5.0,2.0,0,0,0
62,6,onlySelection,AND,2,4,7,7,39,5.0,2.0,0,0,0
63,6,ATGT,AND,2,4,6,6,32,4.0,1.0,0,1087,1087
64,6,Espresso,AND,2,4,7,8,39,7.0,2.0,0,48,48
65,6,JBool,AND,2,4,7,5,38,5.0,2.0,0,0,0
66,6,QM,AND,2,4,4,1,19,2.0,-1.0,0,18,18
67,6,Naive,OR,2,4,9,8,52,10.0,4.0,0,0,0
68,6,onlySelection,OR,2,4,9,8,52,10.0,4.0,0,0,0
69,6,ATGT,OR,2,4,7,5,39,5.0,2.0,0,2100,2100
70,6,Espresso,OR,2,3,8,11,45,12.0,4.0,0,106,106
71,6,JBool,OR,2,4,4,5,24,7.0,0.0,0,0,16
72,6,QM,OR,2,4,4,5,24,7.0,0.0,0,47,47
73,7,Naive,AND,3,4,8,8,45,6.0,3.0,0,0,0
74,7,onlySelection,AND,3,4,8,8,47,6.0,3.0,0,0,0
75,7,ATGT,AND,3,4,7,6,40,4.0,2.0,0,1036,1036
76,7,Espresso,AND,3,3,7,10,42,8.0,3.0,0,49,49
77,7,JBool,AND,3,3,7,8,40,7.0,3.0,0,0,0
78,7,QM,AND,3,3,5,6,28,5.0,1.0,0,16,16
79,7,Naive,OR,3,4,11,8,60,10.0,6.0,0,0,0
80,7,onlySelection,OR,3,4,11,8,60,10.0,6.0,0,0,0
81,7,ATGT,OR,3,4,5,2,26,0.0,0.0,0,2120,2120
82,7,Espresso,OR,3,3,10,11,53,12.0,6.0,0,100,100
83,7,JBool,OR,3,3,4,5,21,4.0,0.0,0,0,0
84,7,QM,OR,3,3,4,5,21,4.0,0.0,0,69,69
85,8,Naive,AND,1,4,6,4,33,2.0,1.0,0,0,0
86,8,onlySelection,AND,1,4,6,4,33,2.0,1.0,0,0,0
87,8,ATGT,AND,1,4,5,4,27,3.0,0.0,0,1034,1034
88,8,Espresso,AND,1,4,6,5,33,4.0,1.0,0,49,49
89,8,JBool,AND,1,4,5,4,27,3.0,0.0,0,0,0
90,8,QM,AND,1,4,5,4,27,3.0,0.0,0,16,16
91,8,Naive,OR,1,4,7,6,40,6.0,2.0,0,0,0
92,8,onlySelection,OR,1,4,7,6,40,6.0,2.0,0,0,0
93,8,ATGT,OR,1,3,5,6,28,6.0,1.0,0,2120,2120
94,8,Espresso,OR,1,3,6,9,33,8.0,2.0,0,100,100
95,8,JBool,OR,1,4,4,5,24,7.0,0.0,0,0,0
96,8,QM,OR,1,4,4,5,24,7.0,0.0,0,53,53
97,9,Naive,AND,3,4,8,9,46,7.0,3.0,0,0,0
98,9,onlySelection,AND,3,4,8,9,48,7.0,3.0,0,0,0
99,9,ATGT,AND,3,4,7,7,41,5.0,2.0,0,1065,1065
100,9,Espresso,AND,3,3,7,11,43,9.0,3.0,0,45,45
101,9,JBool,AND,3,3,7,7,39,6.0,3.0,0,0,0
102,9,QM,AND,3,3,5,5,27,4.0,1.0,0,31,31
103,9,Naive,OR,3,4,11,14,66,16.0,6.0,0,0,0
104,9,onlySelection,OR,3,4,11,14,66,16.0,6.0,0,0,0
105,9,ATGT,OR,3,4,5,2,26,0.0,0.0,0,2078,2078
106,9,Espresso,OR,3,3,10,17,59,18.0,6.0,0,100,100
107,9,JBool,OR,3,3,4,5,21,4.0,0.0,0,0,0
108,9,QM,OR,3,3,4,5,21,4.0,0.0,0,37,37
109,10,Naive,AND,2,4,7,5,39,3.0,2.0,0,0,0
110,10,onlySelection,AND,2,4,7,5,39,3.0,2.0,0,0,0
111,10,ATGT,AND,2,4,7,5,39,3.0,2.0,0,1049,1049
112,10,Espresso,AND,2,3,6,7,34,5.0,2.0,0,47,47
113,10,JBool,AND,2,3,6,7,34,5.0,2.0,0,0,0
114,10,QM,AND,2,3,6,8,35,8.0,2.0,0,15,15
115,10,Naive,OR,2,4,9,6,50,8.0,4.0,0,0,0
116,10,onlySelection,OR,2,4,9,6,50,8.0,4.0,0,0,0
117,10,ATGT,OR,2,3,6,6,33,6.0,2.0,0,2104,2104
118,10,Espresso,OR,2,3,8,9,43,10.0,4.0,0,96,96
119,10,JBool,OR,2,3,5,6,25,5.0,1.0,0,0,0
120,10,QM,OR,2,3,5,6,25,5.0,1.0,0,53,53
