id,idconf,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
1,1,Naive,AND,1,42,97,102,1400,2.0,1.0,0,0,0
2,1,onlySelection,AND,1,42,97,102,1400,2.0,1.0,3,0,3
3,1,ATGT,AND,1,42,96,102,1380,3.0,0.0,1,1138,1141
4,1,Espresso,AND,1,42,97,103,1400,4.0,1.0,1,55,56
5,1,JBool,AND,1,42,96,102,1380,5.0,0.0,2,1,3
6,1,Naive,OR,1,42,128,164,1669,96.0,32.0,0,0,0
7,1,onlySelection,OR,1,42,128,164,1669,96.0,32.0,0,0,0
8,1,ATGT,OR,1,42,124,162,1623,101.0,28.0,0,33732,33732
9,1,Espresso,OR,1,41,127,197,1598,128.0,32.0,0,1702,1702
10,1,JBool,OR,1,41,125,197,1589,164.0,30.0,0,4,4
11,2,Naive,AND,2,42,98,104,1415,4.0,2.0,0,0,0
12,2,onlySelection,AND,2,42,98,104,1413,4.0,2.0,0,0,0
13,2,ATGT,AND,2,42,98,104,1413,4.0,2.0,0,1105,1105
14,2,Espresso,AND,2,42,98,105,1413,6.0,2.0,0,57,57
15,2,JBool,AND,2,42,98,105,1413,8.0,2.0,2,0,2
16,2,Naive,OR,2,42,160,196,2597,160.0,64.0,0,0,0
17,2,onlySelection,OR,2,42,160,196,2597,160.0,64.0,0,0,0
18,2,ATGT,OR,2,42,155,189,2511,153.0,59.0,0,34916,34916
19,2,Espresso,OR,2,41,159,229,2526,192.0,64.0,0,1720,1720
20,2,JBool,OR,2,41,156,224,2470,217.0,61.0,0,12,12
21,3,Naive,AND,3,42,99,104,1433,4.0,3.0,0,0,0
22,3,onlySelection,AND,3,42,99,104,1431,4.0,3.0,2,0,2
23,3,ATGT,AND,3,42,99,104,1431,4.0,3.0,3,1107,1110
24,3,Espresso,AND,3,42,99,105,1431,6.0,3.0,1,53,54
25,3,JBool,AND,3,42,99,105,1431,6.0,3.0,2,0,2
26,3,Naive,OR,3,42,192,260,2823,224.0,96.0,0,0,0
27,3,onlySelection,OR,3,42,192,260,2823,224.0,96.0,0,1,1
28,3,ATGT,OR,3,42,185,250,2726,217.0,89.0,0,34710,34710
29,3,Espresso,OR,3,41,191,293,2752,256.0,96.0,0,1695,1695
30,3,JBool,OR,3,41,199,303,2851,300.0,104.0,0,16,16
31,4,Naive,AND,4,42,100,108,1450,7.0,4.0,0,0,0
32,4,onlySelection,AND,4,42,100,108,1448,7.0,4.0,2,0,2
33,4,ATGT,AND,4,42,100,108,1448,7.0,4.0,2,1093,1096
34,4,Espresso,AND,4,42,100,109,1448,9.0,4.0,2,53,55
35,4,JBool,AND,4,42,100,109,1448,9.0,4.0,2,0,2
36,4,Naive,OR,4,42,224,260,3177,224.0,128.0,0,0,0
37,4,onlySelection,OR,4,42,224,260,3177,224.0,128.0,0,0,0
38,4,ATGT,OR,4,42,212,246,3028,211.0,116.0,0,34764,34764
39,4,Espresso,OR,4,41,223,293,3106,256.0,128.0,0,1722,1722
40,4,JBool,OR,4,41,223,296,3112,289.0,128.0,0,19,19
41,5,Naive,AND,5,42,101,109,1450,8.0,5.0,0,0,0
42,5,onlySelection,AND,5,42,101,109,1448,8.0,5.0,2,0,2
