id,idconf,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
1,1,Naive,AND,1,5,7,6,85,3.0,1.0,0,0,0
2,1,onlySelection,AND,1,5,7,6,87,3.0,1.0,0,0,0
3,1,ATGT,AND,1,4,5,7,64,6.0,0.0,0,1018,1018
4,1,Espresso,AND,1,4,6,6,78,3.0,1.0,1,54,55
5,1,JBool,AND,1,4,5,5,60,4.0,0.0,0,0,0
6,1,QM,AND,1,4,6,6,78,4.0,1.0,0,32,32
7,1,Naive,OR,1,5,8,7,83,6.0,2.0,0,0,0
8,1,onlySelection,OR,1,5,8,7,83,6.0,2.0,0,0,0
9,1,ATGT,OR,1,4,6,8,70,8.0,1.0,0,2134,2134
10,1,Espresso,OR,1,4,7,10,76,8.0,2.0,0,102,102
11,1,JBool,OR,1,4,6,9,68,9.0,1.0,0,16,16
12,1,QM,OR,1,4,6,9,68,8.0,1.0,0,35,35
13,2,Naive,AND,2,5,8,7,93,4.0,2.0,0,0,0
14,2,onlySelection,AND,2,5,8,7,93,4.0,2.0,0,0,0
15,2,ATGT,AND,2,4,6,8,70,7.0,1.0,0,1050,1050
16,2,Espresso,AND,2,4,7,9,88,6.0,2.0,0,45,45
17,2,JBool,AND,2,4,7,9,88,8.0,2.0,0,0,0
18,2,QM,AND,2,4,5,5,60,4.0,0.0,0,31,31
19,2,Naive,OR,2,5,10,9,105,10.0,4.0,0,0,0
20,2,onlySelection,OR,2,5,10,9,105,10.0,4.0,0,0,0
21,2,ATGT,OR,2,5,8,6,85,5.0,2.0,0,2058,2058
22,2,Espresso,OR,2,4,9,12,98,12.0,4.0,0,115,115
23,2,JBool,OR,2,4,7,9,78,10.0,2.0,0,0,0
24,2,QM,OR,2,4,7,10,79,10.0,2.0,0,47,47
25,3,Naive,AND,3,5,9,10,101,7.0,3.0,0,0,0
26,3,onlySelection,AND,3,5,9,10,103,7.0,3.0,0,0,0
27,3,ATGT,AND,3,5,9,10,103,7.0,3.0,0,1040,1040
28,3,Espresso,AND,3,4,8,12,98,9.0,3.0,0,45,45
29,3,JBool,AND,3,4,8,9,95,9.0,3.0,0,0,0
30,3,QM,AND,3,4,10,12,122,12.0,5.0,0,244,244
31,3,Naive,OR,3,5,12,11,133,12.0,6.0,0,0,0
32,3,onlySelection,OR,3,5,12,11,133,12.0,6.0,0,0,0
33,3,ATGT,OR,3,5,6,3,65,0.0,0.0,0,2112,2112
34,3,Espresso,OR,3,4,11,14,126,14.0,6.0,0,100,100
35,3,JBool,OR,3,4,5,7,61,7.0,0.0,0,0,0
36,3,QM,OR,3,4,5,7,61,6.0,0.0,0,47,47
37,4,Naive,AND,4,5,10,10,109,7.0,4.0,0,0,0
38,4,onlySelection,AND,4,5,10,10,113,7.0,4.0,0,0,0
39,4,ATGT,AND,4,5,10,10,113,7.0,4.0,0,1070,1070
40,4,Espresso,AND,4,4,9,12,108,9.0,4.0,0,48,48
41,4,JBool,AND,4,4,9,12,108,11.0,4.0,0,0,0
42,4,QM,AND,4,5,10,10,113,7.0,4.0,0,5018,5018
43,4,Naive,OR,4,5,14,11,151,12.0,8.0,0,0,0
44,4,onlySelection,OR,4,5,14,11,151,12.0,8.0,0,0,0
45,4,ATGT,OR,4,5,6,3,65,0.0,0.0,0,2265,2265
46,4,Espresso,OR,4,4,13,14,144,14.0,8.0,0,104,104
47,4,JBool,OR,4,4,5,6,60,6.0,0.0,0,0,0
48,4,QM,OR,4,4,5,7,61,6.0,0.0,0,47,47
49,5,Naive,AND,4,5,10,9,108,6.0,4.0,0,0,0
50,5,onlySelection,AND,4,5,10,9,112,6.0,4.0,0,0,0
51,5,ATGT,AND,4,5,9,8,101,5.0,3.0,0,1085,1085
52,5,Espresso,AND,4,4,9,11,107,8.0,4.0,0,52,52
53,5,JBool,AND,4,4,9,11,107,10.0,4.0,1,0,1
54,5,QM,AND,4,4,6,7,69,7.0,1.0,0,23,23
55,5,Naive,OR,4,5,14,15,155,16.0,8.0,0,0,0
56,5,onlySelection,OR,4,5,14,15,155,16.0,8.0,0,0,0
57,5,ATGT,OR,4,5,9,7,101,6.0,3.0,0,2087,2087
58,5,Espresso,OR,4,4,13,18,148,18.0,8.0,0,100,100
59,5,JBool,OR,4,4,9,12,103,13.0,4.0,0,0,0
60,5,QM,OR,4,4,7,10,79,10.0,2.0,0,47,47
61,6,Naive,AND,1,5,7,6,85,3.0,1.0,0,0,0
62,6,onlySelection,AND,1,5,7,6,87,3.0,1.0,0,0,0
63,6,ATGT,AND,1,4,5,7,64,6.0,0.0,0,1099,1099
64,6,Espresso,AND,1,4,6,6,78,3.0,1.0,0,37,37
65,6,JBool,AND,1,4,5,5,60,4.0,0.0,0,0,0
66,6,QM,AND,1,4,6,6,78,4.0,1.0,15,20,35
67,6,Naive,OR,1,5,8,5,101,4.0,2.0,0,0,0
68,6,onlySelection,OR,1,5,8,5,101,4.0,2.0,0,0,0
69,6,ATGT,OR,1,2,5,6,80,7.0,0.0,0,2183,2183
70,6,Espresso,OR,1,4,7,8,94,6.0,2.0,0,101,101
71,6,JBool,OR,1,1,2,1,15,8.0,-3.0,0,0,0
72,6,QM,OR,1,1,2,1,15,8.0,-3.0,0,47,47
73,7,Naive,AND,1,5,7,5,77,2.0,1.0,0,0,0
74,7,onlySelection,AND,1,5,7,5,77,2.0,1.0,0,0,0
75,7,ATGT,AND,1,4,5,6,61,3.0,0.0,0,1054,1054
76,7,Espresso,AND,1,4,6,7,72,4.0,1.0,0,49,49
77,7,JBool,AND,1,4,5,6,61,5.0,0.0,0,0,0
78,7,QM,AND,1,4,6,9,74,8.0,1.0,0,16,16
79,7,Naive,OR,1,5,8,5,101,4.0,2.0,0,0,0
80,7,onlySelection,OR,1,5,8,5,101,4.0,2.0,0,0,0
81,7,ATGT,OR,1,2,5,6,80,7.0,0.0,0,2055,2055
82,7,Espresso,OR,1,4,7,8,94,6.0,2.0,0,100,100
83,7,JBool,OR,1,1,2,1,15,8.0,-3.0,0,0,0
84,7,QM,OR,1,1,2,1,15,8.0,-3.0,0,47,47
85,8,Naive,AND,2,5,8,7,86,4.0,2.0,0,0,0
86,8,onlySelection,AND,2,5,8,7,86,4.0,2.0,0,0,0
87,8,ATGT,AND,2,5,8,7,86,4.0,2.0,0,1086,1086
88,8,Espresso,AND,2,4,7,9,81,6.0,2.0,0,39,39
89,8,JBool,AND,2,4,7,9,81,8.0,2.0,0,0,0
90,8,QM,AND,2,4,8,10,89,9.0,3.0,0,32,32
91,8,Naive,OR,2,5,10,11,107,12.0,4.0,0,0,0
92,8,onlySelection,OR,2,5,10,11,107,12.0,4.0,0,0,0
93,8,ATGT,OR,2,4,8,12,94,14.0,3.0,0,2080,2080
94,8,Espresso,OR,2,4,9,14,100,14.0,4.0,0,132,132
95,8,JBool,OR,2,4,7,11,80,12.0,2.0,0,2,2
96,8,QM,OR,2,4,7,11,80,11.0,2.0,0,49,49
97,9,Naive,AND,1,5,7,6,75,3.0,1.0,0,0,0
98,9,onlySelection,AND,1,5,7,6,75,3.0,1.0,0,0,0
99,9,ATGT,AND,1,5,5,4,48,3.0,-1.0,0,1117,1117
100,9,Espresso,AND,1,5,7,5,73,3.0,1.0,0,41,41
101,9,JBool,AND,1,5,5,2,46,2.0,-1.0,0,0,0
102,9,QM,AND,1,5,5,2,46,2.0,-1.0,0,31,31
103,9,Naive,OR,1,5,8,5,101,4.0,2.0,0,0,0
104,9,onlySelection,OR,1,5,8,5,101,4.0,2.0,0,0,0
105,9,ATGT,OR,1,2,5,6,80,7.0,0.0,0,2107,2107
106,9,Espresso,OR,1,4,7,8,94,6.0,2.0,0,100,100
107,9,JBool,OR,1,1,2,1,15,8.0,-3.0,0,0,0
108,9,QM,OR,1,1,2,1,15,8.0,-3.0,0,47,47
109,10,Naive,AND,2,5,8,8,84,5.0,2.0,0,0,0
110,10,onlySelection,AND,2,5,8,8,84,5.0,2.0,0,0,0
111,10,ATGT,AND,2,5,8,8,84,5.0,2.0,0,1054,1054
112,10,Espresso,AND,2,4,7,10,79,7.0,2.0,0,49,49
113,10,JBool,AND,2,4,7,8,77,8.0,2.0,0,0,0
114,10,QM,AND,2,4,8,9,85,8.0,3.0,0,32,32
115,10,Naive,OR,2,5,10,9,125,10.0,4.0,0,0,0
116,10,onlySelection,OR,2,5,10,9,125,10.0,4.0,0,0,0
117,10,ATGT,OR,2,3,7,9,94,10.0,2.0,0,2108,2108
118,10,Espresso,OR,2,4,9,12,118,12.0,4.0,0,104,104
119,10,JBool,OR,2,4,4,5,43,8.0,-1.0,0,0,0
120,10,QM,OR,2,4,4,5,43,8.0,-1.0,0,37,37
