id,idconf,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
1,1,Naive,AND,1,31,119,194,2678,3.0,1.0,0,0,0
2,1,onlySelection,AND,1,31,119,194,2678,3.0,1.0,1,0,1
3,1,ATGT,AND,1,30,117,190,2633,3.0,-1.0,1,1131,1132
4,1,Espresso,AND,1,31,119,192,2676,1.0,1.0,2,53,55
5,1,JBool,AND,1,30,117,188,2631,3.0,-1.0,1,0,1
6,1,Naive,OR,1,31,176,307,4005,118.0,58.0,0,0,0
7,1,onlySelection,OR,1,31,176,307,4005,118.0,58.0,0,0,0
8,1,ATGT,OR,1,31,174,303,3966,115.0,56.0,0,62584,62584
9,1,Espresso,OR,1,31,176,307,4005,118.0,58.0,0,3089,3091
10,1,JBool,OR,1,30,171,296,3874,178.0,53.0,0,14,14
11,2,Naive,AND,2,31,120,195,2741,4.0,2.0,0,0,0
12,2,onlySelection,AND,2,31,120,195,2741,4.0,2.0,4,0,4
13,2,ATGT,AND,2,31,120,195,2741,4.0,2.0,4,1086,1090
14,2,Espresso,AND,2,31,120,195,2741,4.0,2.0,3,53,56
15,2,JBool,AND,2,31,120,194,2740,6.0,2.0,3,0,4
16,2,Naive,OR,2,31,234,365,4991,234.0,116.0,0,0,0
17,2,onlySelection,OR,2,31,234,365,4991,234.0,116.0,0,0,0
18,2,ATGT,OR,2,31,223,349,4773,214.0,105.0,0,63517,63517
19,2,Espresso,OR,2,31,234,365,4991,234.0,116.0,0,3084,3084
20,2,JBool,OR,2,30,216,337,4614,299.0,98.0,0,16,16
21,3,Naive,AND,3,31,121,198,2738,6.0,3.0,0,0,0
22,3,onlySelection,AND,3,31,121,198,2736,6.0,3.0,4,0,4
23,3,ATGT,AND,3,31,121,198,2736,6.0,3.0,3,1090,1093
24,3,Espresso,AND,3,31,121,198,2736,6.0,3.0,4,52,56
25,3,JBool,AND,3,31,121,196,2736,7.0,3.0,3,1,4
26,3,Naive,OR,3,31,292,423,6385,234.0,174.0,0,0,0
27,3,onlySelection,OR,3,31,292,423,6385,234.0,174.0,0,0,0
28,3,ATGT,OR,3,31,265,388,5776,200.0,147.0,0,63059,63059
