step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
0,onlySelection,AND,2,0.0,2.0,76,153,32,0,32
1,onlySelection,AND,2,0.0,4.0,77,155,8,0,8
2,onlySelection,AND,2,0.0,6.0,78,157,8,0,8
3,onlySelection,AND,2,0.0,8.0,79,159,13,1,14
4,onlySelection,AND,2,0.0,10.0,80,161,13,0,13
5,onlySelection,AND,2,0.0,12.0,81,163,8,0,8
6,onlySelection,AND,2,0.0,14.0,82,165,8,0,8
7,onlySelection,AND,2,0.0,16.0,83,167,12,0,12
8,onlySelection,AND,2,0.0,18.0,84,169,11,1,12
10,onlySelection,OR,38,0.0,170.0,84,321,13,0,13
11,onlySelection,OR,38,0.0,322.0,84,473,10,1,11
12,onlySelection,OR,36,0.0,466.0,84,617,6,1,7
13,onlySelection,OR,36,0.0,610.0,84,761,8,2,10
14,onlySelection,OR,36,0.0,754.0,84,905,7,1,8
15,onlySelection,OR,36,0.0,898.0,84,1049,8,2,10
16,onlySelection,OR,36,0.0,1042.0,84,1193,6,3,9
17,onlySelection,OR,36,0.0,1186.0,84,1337,7,3,10
18,onlySelection,OR,39,0.0,1303.0,84,1454,8,10,18
19,onlySelection,OR,39,0.0,1420.0,84,1571,9,2,11
20,onlySelection,OR,37,0.0,1531.0,84,1682,11,3,14
21,onlySelection,OR,37,0.0,1642.0,84,1793,8,3,11
22,onlySelection,OR,37,0.0,1753.0,84,1904,8,3,11
23,onlySelection,OR,37,0.0,1864.0,84,2015,8,3,11
24,onlySelection,OR,39,0.0,1981.0,84,2132,9,3,12
25,onlySelection,OR,37,0.0,2092.0,84,2243,8,3,11
26,onlySelection,OR,37,0.0,2203.0,84,2354,9,3,12
27,onlySelection,OR,37,0.0,2314.0,84,2465,9,3,12
28,onlySelection,OR,37,0.0,2425.0,84,2576,9,3,12
29,onlySelection,OR,37,0.0,2536.0,84,2687,10,4,14
30,onlySelection,OR,37,0.0,2647.0,84,2798,20,5,25
31,onlySelection,OR,37,0.0,2758.0,84,2909,11,5,16
32,onlySelection,OR,37,0.0,2869.0,84,3020,18,8,26
33,onlySelection,OR,37,0.0,2980.0,84,3131,16,7,24
34,onlySelection,OR,37,0.0,3091.0,84,3242,11,5,17
35,onlySelection,OR,37,0.0,3202.0,84,3353,15,6,21
36,onlySelection,OR,37,0.0,3313.0,84,3464,10,6,16
37,onlySelection,OR,37,0.0,3424.0,84,3575,11,5,16
38,onlySelection,OR,37,0.0,3535.0,84,3686,11,6,17
39,onlySelection,OR,39,0.0,3652.0,84,3803,12,6,18
40,onlySelection,OR,39,0.0,3769.0,84,3920,12,7,19
41,onlySelection,OR,39,0.0,3886.0,84,4037,16,33,49
42,onlySelection,OR,38,0.0,3962.0,84,4113,12,6,18
43,onlySelection,OR,38,0.0,4038.0,84,4189,13,5,18
44,onlySelection,OR,40,0.0,4118.0,84,4269,12,6,18
45,onlySelection,OR,40,0.0,4198.0,84,4349,13,6,19
46,onlySelection,OR,38,0.0,4274.0,84,4425,14,7,21
47,onlySelection,OR,38,0.0,4350.0,84,4501,20,6,26
48,onlySelection,OR,38,0.0,4426.0,84,4577,12,7,19
49,onlySelection,OR,38,0.0,4502.0,84,4653,13,7,20
50,onlySelection,OR,38,0.0,4578.0,84,4729,12,7,19
51,onlySelection,OR,38,0.0,4654.0,84,4805,15,6,21
52,onlySelection,OR,38,0.0,4730.0,84,4881,14,8,22
53,onlySelection,OR,38,0.0,4806.0,84,4957,13,7,20
54,onlySelection,OR,40,0.0,4886.0,84,5037,13,8,21
55,onlySelection,OR,40,0.0,4966.0,84,5117,14,7,21
56,onlySelection,OR,38,0.0,5042.0,84,5193,13,8,21
57,onlySelection,OR,38,0.0,5118.0,84,5269,13,8,21
58,onlySelection,OR,38,0.0,5194.0,84,5345,14,7,21
59,onlySelection,OR,38,0.0,5270.0,84,5421,18,9,27
60,onlySelection,OR,38,0.0,5346.0,84,5497,13,8,21
61,onlySelection,OR,38,0.0,5422.0,84,5573,15,9,24
62,onlySelection,OR,40,0.0,5502.0,84,5653,18,9,28
