step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
0,onlySelection,AND,2,0.0,2.0,76,153,32,0,32
1,onlySelection,AND,2,0.0,4.0,77,155,1,0,1
2,onlySelection,AND,2,0.0,6.0,78,157,25,0,25
3,onlySelection,AND,2,0.0,8.0,79,159,1,0,1
4,onlySelection,AND,2,0.0,10.0,80,161,16,0,16
5,onlySelection,AND,2,0.0,12.0,81,163,0,0,0
6,onlySelection,AND,2,0.0,14.0,82,165,0,0,0
7,onlySelection,AND,2,0.0,16.0,83,167,15,0,15
8,onlySelection,AND,2,0.0,18.0,84,169,25,0,25
10,onlySelection,OR,38,0.0,170.0,84,321,15,0,15
11,onlySelection,OR,38,0.0,322.0,84,473,16,0,16
12,onlySelection,OR,36,0.0,466.0,84,617,0,0,0
13,onlySelection,OR,36,0.0,610.0,84,761,15,0,15
14,onlySelection,OR,36,0.0,754.0,84,905,16,0,16
15,onlySelection,OR,36,0.0,898.0,84,1049,22,0,22
16,onlySelection,OR,36,0.0,1042.0,84,1193,15,0,15
17,onlySelection,OR,36,0.0,1186.0,84,1337,15,0,15
18,onlySelection,OR,39,0.0,1303.0,84,1454,0,0,0
19,onlySelection,OR,39,0.0,1420.0,84,1571,5,0,5
20,onlySelection,OR,37,0.0,1531.0,84,1682,17,3,20
21,onlySelection,OR,37,0.0,1642.0,84,1793,7,3,10
22,onlySelection,OR,37,0.0,1753.0,84,1904,8,3,11
23,onlySelection,OR,37,0.0,1864.0,84,2015,8,3,11
24,onlySelection,OR,39,0.0,1981.0,84,2132,9,3,12
25,onlySelection,OR,37,0.0,2092.0,84,2243,8,4,12
26,onlySelection,OR,37,0.0,2203.0,84,2354,8,4,12
27,onlySelection,OR,37,0.0,2314.0,84,2465,9,3,12
28,onlySelection,OR,37,0.0,2425.0,84,2576,9,3,12
29,onlySelection,OR,37,0.0,2536.0,84,2687,8,4,12
30,onlySelection,OR,37,0.0,2647.0,84,2798,9,3,12
31,onlySelection,OR,37,0.0,2758.0,84,2909,8,4,12
32,onlySelection,OR,37,0.0,2869.0,84,3020,9,4,13
33,onlySelection,OR,37,0.0,2980.0,84,3131,9,5,14
34,onlySelection,OR,37,0.0,3091.0,84,3242,9,5,14
35,onlySelection,OR,37,0.0,3202.0,84,3353,9,5,14
36,onlySelection,OR,37,0.0,3313.0,84,3464,10,7,17
37,onlySelection,OR,37,0.0,3424.0,84,3575,9,6,15
38,onlySelection,OR,37,0.0,3535.0,84,3686,10,5,15
39,onlySelection,OR,39,0.0,3652.0,84,3803,10,6,16
40,onlySelection,OR,39,0.0,3769.0,84,3920,10,7,18
41,onlySelection,OR,39,0.0,3886.0,84,4037,11,7,18
42,onlySelection,OR,38,0.0,3962.0,84,4113,10,5,15
43,onlySelection,OR,38,0.0,4038.0,84,4189,10,6,16
44,onlySelection,OR,40,0.0,4118.0,84,4269,11,5,16
45,onlySelection,OR,40,0.0,4198.0,84,4349,11,5,16
46,onlySelection,OR,38,0.0,4274.0,84,4425,11,6,17
47,onlySelection,OR,38,0.0,4350.0,84,4501,11,6,17
48,onlySelection,OR,38,0.0,4426.0,84,4577,12,6,18
49,onlySelection,OR,38,0.0,4502.0,84,4653,11,6,17
50,onlySelection,OR,38,0.0,4578.0,84,4729,11,7,18
51,onlySelection,OR,38,0.0,4654.0,84,4805,11,7,18
52,onlySelection,OR,38,0.0,4730.0,84,4881,11,6,17
53,onlySelection,OR,38,0.0,4806.0,84,4957,11,7,18
54,onlySelection,OR,40,0.0,4886.0,84,5037,12,6,18
55,onlySelection,OR,40,0.0,4966.0,84,5117,12,7,19
56,onlySelection,OR,38,0.0,5042.0,84,5193,12,7,19
57,onlySelection,OR,38,0.0,5118.0,84,5269,12,8,20
58,onlySelection,OR,38,0.0,5194.0,84,5345,12,8,20
59,onlySelection,OR,38,0.0,5270.0,84,5421,12,8,20
60,onlySelection,OR,38,0.0,5346.0,84,5497,12,8,20
61,onlySelection,OR,38,0.0,5422.0,84,5573,12,8,21
62,onlySelection,OR,40,0.0,5502.0,84,5653,13,9,22
63,onlySelection,OR,38,0.0,5578.0,84,5729,12,9,21
64,onlySelection,OR,38,0.0,5654.0,84,5805,12,10,22
65,onlySelection,OR,40,0.0,5734.0,84,5885,13,9,22
66,onlySelection,OR,37,0.0,5771.0,84,5922,12,2,16
67,onlySelection,OR,37,0.0,5808.0,84,5959,12,3,15
68,onlySelection,OR,37,0.0,5845.0,84,5996,12,4,16
69,onlySelection,OR,37,0.0,5882.0,84,6033,13,3,16
70,onlySelection,OR,37,0.0,5919.0,84,6070,13,3,16
71,onlySelection,OR,37,0.0,5956.0,84,6107,12,4,16
72,onlySelection,OR,37,0.0,5993.0,84,6144,12,4,16
73,onlySelection,OR,39,0.0,6032.0,84,6183,13,4,17
74,onlySelection,OR,39,0.0,6071.0,84,6222,13,3,16
75,onlySelection,OR,39,0.0,6110.0,84,6261,13,4,17
76,onlySelection,OR,39,0.0,6149.0,84,6300,13,5,18
77,onlySelection,OR,39,0.0,6188.0,84,6339,26,5,31
78,onlySelection,OR,39,0.0,6227.0,84,6378,14,4,18
79,onlySelection,OR,37,0.0,6264.0,84,6415,12,5,17
80,onlySelection,OR,37,0.0,6301.0,84,6452,13,4,18
81,onlySelection,OR,37,0.0,6338.0,84,6489,13,5,18
82,onlySelection,OR,37,0.0,6375.0,84,6526,13,6,19
83,onlySelection,OR,37,0.0,6412.0,84,6563,13,5,18
84,onlySelection,OR,37,0.0,6449.0,84,6600,13,5,18
85,onlySelection,OR,37,0.0,6486.0,84,6637,13,6,19
86,onlySelection,OR,37,0.0,6523.0,84,6674,13,6,19
87,onlySelection,OR,37,0.0,6560.0,84,6711,13,6,19
88,onlySelection,OR,37,0.0,6597.0,84,6748,12,6,18
89,onlySelection,OR,37,0.0,6634.0,84,6785,13,6,20
90,onlySelection,OR,37,0.0,6671.0,84,6822,13,7,20
91,onlySelection,OR,39,0.0,6710.0,84,6861,13,7,20
92,onlySelection,OR,39,0.0,6749.0,84,6900,14,6,20
93,onlySelection,OR,39,0.0,6788.0,84,6939,14,7,21
94,onlySelection,OR,39,0.0,6827.0,84,6978,14,7,21
95,onlySelection,OR,41,0.0,6868.0,84,7019,15,7,22
96,onlySelection,OR,41,0.0,6909.0,84,7060,14,8,22
97,onlySelection,OR,39,0.0,6948.0,84,7099,14,8,22
98,onlySelection,OR,39,0.0,6987.0,84,7138,13,8,21
99,onlySelection,OR,37,0.0,7024.0,84,7175,13,3,16
100,onlySelection,OR,37,0.0,7061.0,84,7212,14,3,17
101,onlySelection,OR,37,0.0,7098.0,84,7249,13,4,18
102,onlySelection,OR,37,0.0,7135.0,84,7286,14,3,17
103,onlySelection,OR,37,0.0,7172.0,84,7323,14,3,17
104,onlySelection,OR,37,0.0,7209.0,84,7360,14,4,18
105,onlySelection,OR,37,0.0,7246.0,84,7397,31,4,35
106,onlySelection,OR,37,0.0,7283.0,84,7434,15,4,19
107,onlySelection,OR,37,0.0,7320.0,84,7471,15,4,19
108,onlySelection,OR,37,0.0,7357.0,84,7508,14,4,18
109,onlySelection,OR,37,0.0,7394.0,84,7545,15,4,19
110,onlySelection,OR,37,0.0,7431.0,84,7582,15,4,19
111,onlySelection,OR,37,0.0,7468.0,84,7619,15,4,19
112,onlySelection,OR,37,0.0,7505.0,84,7656,15,5,20
113,onlySelection,OR,39,0.0,7544.0,84,7695,20,5,25
114,onlySelection,OR,39,0.0,7583.0,84,7734,16,4,20
115,onlySelection,OR,39,0.0,7622.0,84,7773,16,5,21
116,onlySelection,OR,39,0.0,7661.0,84,7812,16,5,21
117,onlySelection,OR,37,0.0,7698.0,84,7849,14,6,20
118,onlySelection,OR,39,0.0,7737.0,84,7888,16,5,21
119,onlySelection,OR,39,0.0,7776.0,84,7927,15,6,21
120,onlySelection,OR,37,0.0,7813.0,84,7964,16,8,24
121,onlySelection,OR,37,0.0,7850.0,84,8001,15,6,22
122,onlySelection,OR,37,0.0,7887.0,84,8038,15,6,21
123,onlySelection,OR,36,0.0,7959.0,84,8110,16,13,29
124,onlySelection,OR,36,0.0,8031.0,84,8182,23,12,36
125,onlySelection,OR,36,0.0,8103.0,84,8254,15,14,29
126,onlySelection,OR,36,0.0,8175.0,84,8326,15,14,29
127,onlySelection,OR,36,0.0,8247.0,84,8398,15,15,30
128,onlySelection,OR,36,0.0,8319.0,84,8470,15,15,30
129,onlySelection,OR,38,0.0,8395.0,84,8546,16,15,31
130,onlySelection,OR,38,0.0,8471.0,84,8622,16,16,32
131,onlySelection,OR,38,0.0,8547.0,84,8698,16,16,32
132,onlySelection,OR,38,0.0,8623.0,84,8774,17,16,33
133,onlySelection,OR,36,0.0,8695.0,84,8846,16,17,33
134,onlySelection,OR,38,0.0,8771.0,84,8922,17,16,33
135,onlySelection,OR,38,0.0,8847.0,84,8998,16,13,29
136,onlySelection,OR,36,0.0,8919.0,84,9070,15,16,31
137,onlySelection,OR,36,0.0,8991.0,84,9142,19,22,41
138,onlySelection,OR,36,0.0,9063.0,84,9214,17,11,28
139,onlySelection,OR,36,0.0,9135.0,84,9286,23,19,42
140,onlySelection,OR,37,0.0,9172.0,84,9323,17,3,20
141,onlySelection,OR,36,0.0,9244.0,84,9395,17,19,37
142,onlySelection,OR,36,0.0,9316.0,84,9467,18,19,37
143,onlySelection,OR,36,0.0,9388.0,84,9539,17,21,38
144,onlySelection,OR,36,0.0,9460.0,84,9611,16,31,47
145,onlySelection,OR,36,0.0,9532.0,84,9683,32,20,52
146,onlySelection,OR,36,0.0,9604.0,84,9755,32,15,47
147,onlySelection,OR,36,0.0,9676.0,84,9827,16,16,32
148,onlySelection,OR,35,0.0,9781.0,84,9932,16,38,54
149,onlySelection,OR,35,0.0,9886.0,84,10037,16,15,31
150,onlySelection,OR,35,0.0,9991.0,84,10142,32,21,53
151,onlySelection,OR,35,0.0,10096.0,84,10247,16,35,51
152,onlySelection,OR,35,0.0,10201.0,84,10352,18,27,45
153,onlySelection,OR,35,0.0,10306.0,84,10457,16,24,40
154,onlySelection,OR,35,0.0,10411.0,84,10562,16,31,47
155,onlySelection,OR,35,0.0,10516.0,84,10667,22,35,57
156,onlySelection,OR,35,0.0,10621.0,84,10772,31,27,58
157,onlySelection,OR,35,0.0,10726.0,84,10877,32,37,69
158,onlySelection,OR,35,0.0,10831.0,84,10982,15,47,62
159,onlySelection,OR,37,0.0,10868.0,84,11019,15,16,31
160,onlySelection,OR,35,0.0,10973.0,84,11124,15,41,56
161,onlySelection,OR,35,0.0,11078.0,84,11229,20,32,52
162,onlySelection,OR,37,0.0,11189.0,84,11340,20,24,44
163,onlySelection,OR,37,0.0,11226.0,84,11377,16,15,31
164,onlySelection,OR,35,0.0,11331.0,84,11482,19,22,41
165,onlySelection,OR,37,0.0,11442.0,84,11593,34,27,61
166,onlySelection,OR,37,0.0,11479.0,84,11630,44,6,50
167,onlySelection,OR,35,0.0,11584.0,84,11735,31,31,62
168,onlySelection,OR,37,0.0,11695.0,84,11846,22,31,53
169,onlySelection,OR,37,0.0,11732.0,84,11883,34,4,38
170,onlySelection,OR,37,0.0,11843.0,84,11994,16,31,47
171,onlySelection,OR,37,0.0,11880.0,84,12031,17,0,32
172,onlySelection,OR,37,0.0,11991.0,84,12142,47,53,100
173,onlySelection,OR,37,0.0,12028.0,84,12179,16,15,31
174,onlySelection,OR,37,0.0,12139.0,84,12290,16,32,48
175,onlySelection,OR,39,0.0,12178.0,84,12329,22,0,22
176,onlySelection,OR,39,0.0,12217.0,84,12368,31,0,31
177,onlySelection,OR,39,0.0,12256.0,84,12407,32,5,37
178,onlySelection,OR,39,0.0,12295.0,84,12446,16,15,31
179,onlySelection,OR,39,0.0,12334.0,84,12485,15,22,37
180,onlySelection,OR,39,0.0,12373.0,84,12524,19,11,30
181,onlySelection,OR,37,0.0,12410.0,84,12561,21,8,29
182,onlySelection,OR,35,0.0,12515.0,84,12666,10,46,56
183,onlySelection,OR,35,0.0,12620.0,84,12771,16,47,63
184,onlySelection,OR,35,0.0,12725.0,84,12876,15,47,62
185,onlySelection,OR,38,0.0,12801.0,84,12952,9,32,41
186,onlySelection,OR,36,0.0,12873.0,84,13024,15,35,50
187,onlySelection,OR,38,0.0,12949.0,84,13100,23,17,40
188,onlySelection,OR,36,0.0,13021.0,84,13172,35,15,50
189,onlySelection,OR,36,0.0,13093.0,84,13244,16,22,38
190,onlySelection,OR,36,0.0,13165.0,84,13316,16,31,47
191,onlySelection,OR,36,0.0,13237.0,84,13388,16,31,47
192,onlySelection,OR,36,0.0,13309.0,84,13460,22,31,53
193,onlySelection,OR,36,0.0,13381.0,84,13532,16,38,54
194,onlySelection,OR,36,0.0,13453.0,84,13604,16,41,57
195,onlySelection,OR,36,0.0,13525.0,84,13676,18,31,50
196,onlySelection,OR,36,0.0,13597.0,84,13748,29,29,58
197,onlySelection,OR,36,0.0,13669.0,84,13820,26,31,57
198,onlySelection,OR,38,0.0,13745.0,84,13896,35,19,54
199,onlySelection,OR,36,0.0,13817.0,84,13968,16,31,47
200,onlySelection,OR,36,0.0,13889.0,84,14040,16,47,63
201,onlySelection,OR,38,0.0,13965.0,84,14116,22,31,53
202,onlySelection,OR,36,0.0,14037.0,84,14188,16,22,38
203,onlySelection,OR,36,0.0,14109.0,84,14260,16,49,65
204,onlySelection,OR,38,0.0,14185.0,84,14336,15,47,62
205,onlySelection,OR,36,0.0,14257.0,84,14408,32,31,63
206,onlySelection,OR,36,0.0,14329.0,84,14480,23,31,54
207,onlySelection,OR,38,0.0,14405.0,84,14556,53,29,82
208,onlySelection,OR,36,0.0,14477.0,84,14628,24,44,68
209,onlySelection,OR,36,0.0,14549.0,84,14700,15,38,53
210,onlySelection,OR,36,0.0,14621.0,84,14772,38,31,69
211,onlySelection,OR,36,0.0,14693.0,84,14844,15,43,58
212,onlySelection,OR,36,0.0,14765.0,84,14916,16,37,53
213,onlySelection,OR,36,0.0,14837.0,84,14988,15,32,47
214,onlySelection,OR,36,0.0,14909.0,84,15060,13,47,60
215,onlySelection,OR,37,0.0,14946.0,84,15097,16,16,32
216,onlySelection,OR,37,0.0,14983.0,84,15134,16,22,38
217,onlySelection,OR,37,0.0,15020.0,84,15171,35,17,52
218,onlySelection,OR,37,0.0,15057.0,84,15208,24,31,55
219,onlySelection,OR,37,0.0,15094.0,84,15245,31,18,49
220,onlySelection,OR,37,0.0,15131.0,84,15282,31,32,63
221,onlySelection,OR,36,0.0,15203.0,84,15354,25,21,46
222,onlySelection,OR,37,0.0,15240.0,84,15391,38,15,53
223,onlySelection,OR,37,0.0,15277.0,84,15428,26,18,44
224,onlySelection,OR,37,0.0,15314.0,84,15465,16,15,31
225,onlySelection,OR,36,0.0,15386.0,84,15537,25,24,49
226,onlySelection,OR,36,0.0,15458.0,84,15609,23,31,54
227,onlySelection,OR,36,0.0,15530.0,84,15681,31,36,67
228,onlySelection,OR,36,0.0,15602.0,84,15753,32,39,71
229,onlySelection,OR,36,0.0,15674.0,84,15825,15,38,53
230,onlySelection,OR,38,0.0,15750.0,84,15901,47,53,100
231,onlySelection,OR,36,0.0,15822.0,84,15973,15,38,53
232,onlySelection,OR,38,0.0,15898.0,84,16049,52,42,94
233,onlySelection,OR,38,0.0,15974.0,84,16125,15,37,52
234,onlySelection,OR,38,0.0,16050.0,84,16201,34,50,84
235,onlySelection,OR,38,0.0,16126.0,84,16277,15,48,63
236,onlySelection,OR,38,0.0,16202.0,84,16353,16,53,69
237,onlySelection,OR,36,0.0,16274.0,84,16425,31,51,82
238,onlySelection,OR,36,0.0,16346.0,84,16497,32,39,71
239,onlySelection,OR,36,0.0,16418.0,84,16569,15,54,69
240,onlySelection,OR,36,0.0,16490.0,84,16641,31,55,86
241,onlySelection,OR,36,0.0,16562.0,84,16713,16,60,76
0,Espresso,AND,2,0.0,2.0,76,153,16,100,116
1,Espresso,AND,2,0.0,4.0,77,155,0,116,116
2,Espresso,AND,2,0.0,6.0,78,157,0,129,129
3,Espresso,AND,2,0.0,8.0,79,159,0,116,117
4,Espresso,AND,2,0.0,10.0,80,161,8,132,140
5,Espresso,AND,2,0.0,12.0,81,163,15,123,138
6,Espresso,AND,2,0.0,14.0,82,165,0,131,131
7,Espresso,AND,2,0.0,16.0,83,167,0,100,100
8,Espresso,AND,2,0.0,18.0,84,169,0,131,131
10,Espresso,OR,38,0.0,170.0,84,321,17,200,217
11,Espresso,OR,38,0.0,322.0,84,473,2,200,202
12,Espresso,OR,36,0.0,466.0,84,617,0,233,233
13,Espresso,OR,36,0.0,610.0,84,761,0,196,196
14,Espresso,OR,36,0.0,754.0,84,905,0,241,241
15,Espresso,OR,36,0.0,898.0,84,1049,15,203,218
16,Espresso,OR,36,0.0,1042.0,84,1193,7,202,209
17,Espresso,OR,36,0.0,1186.0,84,1337,15,236,251
18,Espresso,OR,39,0.0,1303.0,84,1454,16,178,194
19,Espresso,OR,39,0.0,1420.0,84,1571,2,147,149
20,Espresso,OR,37,0.0,1531.0,84,1682,0,183,183
21,Espresso,OR,37,0.0,1642.0,84,1793,0,162,162
22,Espresso,OR,37,0.0,1753.0,84,1904,15,200,215
23,Espresso,OR,37,0.0,1864.0,84,2015,0,169,169
24,Espresso,OR,39,0.0,1981.0,84,2132,15,185,200
25,Espresso,OR,37,0.0,2092.0,84,2243,8,152,161
26,Espresso,OR,37,0.0,2203.0,84,2354,22,163,185
27,Espresso,OR,37,0.0,2314.0,84,2465,0,156,156
28,Espresso,OR,37,0.0,2425.0,84,2576,0,174,174
29,Espresso,OR,37,0.0,2536.0,84,2687,9,163,172
30,Espresso,OR,37,0.0,2647.0,84,2798,0,163,163
31,Espresso,OR,37,0.0,2758.0,84,2909,0,169,169
32,Espresso,OR,37,0.0,2869.0,84,3020,16,154,170
33,Espresso,OR,37,0.0,2980.0,84,3131,0,174,174
34,Espresso,OR,37,0.0,3091.0,84,3242,16,162,178
35,Espresso,OR,37,0.0,3202.0,84,3353,21,149,170
36,Espresso,OR,37,0.0,3313.0,84,3464,16,153,169
37,Espresso,OR,37,0.0,3424.0,84,3575,16,169,185
38,Espresso,OR,37,0.0,3535.0,84,3686,16,168,184
39,Espresso,OR,39,0.0,3652.0,84,3803,17,206,223
40,Espresso,OR,39,0.0,3769.0,84,3920,11,158,169
41,Espresso,OR,39,0.0,3886.0,84,4037,16,166,182
42,Espresso,OR,38,0.0,3962.0,84,4113,16,100,116
43,Espresso,OR,38,0.0,4038.0,84,4189,15,101,116
44,Espresso,OR,40,0.0,4118.0,84,4269,16,100,116
45,Espresso,OR,40,0.0,4198.0,84,4349,1,116,117
46,Espresso,OR,38,0.0,4274.0,84,4425,0,123,123
47,Espresso,OR,38,0.0,4350.0,84,4501,2,114,117
48,Espresso,OR,38,0.0,4426.0,84,4577,20,116,136
49,Espresso,OR,38,0.0,4502.0,84,4653,16,115,131
50,Espresso,OR,38,0.0,4578.0,84,4729,16,116,132
51,Espresso,OR,38,0.0,4654.0,84,4805,5,116,121
52,Espresso,OR,38,0.0,4730.0,84,4881,15,131,146
53,Espresso,OR,38,0.0,4806.0,84,4957,20,113,133
54,Espresso,OR,40,0.0,4886.0,84,5037,12,106,119
55,Espresso,OR,40,0.0,4966.0,84,5117,16,116,132
56,Espresso,OR,38,0.0,5042.0,84,5193,16,112,128
57,Espresso,OR,38,0.0,5118.0,84,5269,16,123,139
58,Espresso,OR,38,0.0,5194.0,84,5345,15,119,134
59,Espresso,OR,38,0.0,5270.0,84,5421,16,116,132
60,Espresso,OR,38,0.0,5346.0,84,5497,15,116,131
61,Espresso,OR,38,0.0,5422.0,84,5573,21,109,130
62,Espresso,OR,40,0.0,5502.0,84,5653,16,115,131
63,Espresso,OR,38,0.0,5578.0,84,5729,16,113,129
64,Espresso,OR,38,0.0,5654.0,84,5805,8,116,124
65,Espresso,OR,40,0.0,5734.0,84,5885,0,116,116
66,Espresso,OR,37,0.0,5771.0,84,5922,16,53,69
67,Espresso,OR,37,0.0,5808.0,84,5959,15,54,69
68,Espresso,OR,37,0.0,5845.0,84,5996,15,66,81
69,Espresso,OR,37,0.0,5882.0,84,6033,16,47,63
70,Espresso,OR,37,0.0,5919.0,84,6070,21,56,77
71,Espresso,OR,37,0.0,5956.0,84,6107,0,64,64
72,Espresso,OR,37,0.0,5993.0,84,6144,15,53,68
73,Espresso,OR,39,0.0,6032.0,84,6183,0,69,69
74,Espresso,OR,39,0.0,6071.0,84,6222,15,63,78
75,Espresso,OR,39,0.0,6110.0,84,6261,20,58,78
76,Espresso,OR,39,0.0,6149.0,84,6300,26,47,73
77,Espresso,OR,39,0.0,6188.0,84,6339,16,53,69
78,Espresso,OR,39,0.0,6227.0,84,6378,15,54,69
79,Espresso,OR,37,0.0,6264.0,84,6415,13,47,60
80,Espresso,OR,37,0.0,6301.0,84,6452,16,46,62
81,Espresso,OR,37,0.0,6338.0,84,6489,13,44,57
82,Espresso,OR,37,0.0,6375.0,84,6526,20,63,83
83,Espresso,OR,37,0.0,6412.0,84,6563,16,65,81
84,Espresso,OR,37,0.0,6449.0,84,6600,16,70,86
85,Espresso,OR,37,0.0,6486.0,84,6637,15,70,85
86,Espresso,OR,37,0.0,6523.0,84,6674,20,63,83
87,Espresso,OR,37,0.0,6560.0,84,6711,15,71,86
88,Espresso,OR,37,0.0,6597.0,84,6748,0,65,65
89,Espresso,OR,37,0.0,6634.0,84,6785,20,47,67
90,Espresso,OR,37,0.0,6671.0,84,6822,16,69,85
91,Espresso,OR,39,0.0,6710.0,84,6861,19,62,81
92,Espresso,OR,39,0.0,6749.0,84,6900,15,48,63
93,Espresso,OR,39,0.0,6788.0,84,6939,0,75,75
94,Espresso,OR,39,0.0,6827.0,84,6978,16,81,97
95,Espresso,OR,41,0.0,6868.0,84,7019,20,64,84
96,Espresso,OR,41,0.0,6909.0,84,7060,15,60,75
97,Espresso,OR,39,0.0,6948.0,84,7099,15,63,78
98,Espresso,OR,39,0.0,6987.0,84,7138,15,71,86
99,Espresso,OR,37,0.0,7024.0,84,7175,16,67,83
100,Espresso,OR,37,0.0,7061.0,84,7212,31,47,78
101,Espresso,OR,37,0.0,7098.0,84,7249,16,47,63
102,Espresso,OR,37,0.0,7135.0,84,7286,22,47,69
103,Espresso,OR,37,0.0,7172.0,84,7323,15,54,69
104,Espresso,OR,37,0.0,7209.0,84,7360,16,65,81
105,Espresso,OR,37,0.0,7246.0,84,7397,15,44,59
106,Espresso,OR,37,0.0,7283.0,84,7434,16,51,67
107,Espresso,OR,37,0.0,7320.0,84,7471,15,63,78
108,Espresso,OR,37,0.0,7357.0,84,7508,22,62,84
109,Espresso,OR,37,0.0,7394.0,84,7545,2,63,65
110,Espresso,OR,37,0.0,7431.0,84,7582,21,56,77
111,Espresso,OR,37,0.0,7468.0,84,7619,16,61,77
112,Espresso,OR,37,0.0,7505.0,84,7656,15,69,84
113,Espresso,OR,39,0.0,7544.0,84,7695,15,57,72
114,Espresso,OR,39,0.0,7583.0,84,7734,16,53,69
115,Espresso,OR,39,0.0,7622.0,84,7773,6,68,74
116,Espresso,OR,39,0.0,7661.0,84,7812,23,51,74
