step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
0,onlySelection,AND,1,0.0,-25.0,58,115,21,0,21
1,onlySelection,AND,1,0.0,-24.0,59,116,8,0,8
2,onlySelection,AND,2,0.0,-22.0,60,118,7,0,7
3,onlySelection,AND,1,0.0,-21.0,61,119,4,0,4
4,onlySelection,AND,1,0.0,-20.0,62,120,5,0,5
5,onlySelection,AND,1,0.0,-19.0,63,121,4,1,5
6,onlySelection,AND,1,0.0,-18.0,64,122,8,0,8
7,onlySelection,AND,1,0.0,-17.0,65,123,9,0,9
8,onlySelection,AND,2,0.0,-15.0,66,125,13,0,13
10,onlySelection,OR,36,0.0,21.0,66,161,9,1,11
11,onlySelection,OR,35,0.0,56.0,66,196,10,0,10
12,onlySelection,OR,35,0.0,91.0,66,231,5,1,6
13,onlySelection,OR,35,0.0,126.0,66,266,8,1,9
14,onlySelection,OR,35,0.0,161.0,66,301,4,1,5
15,onlySelection,OR,36,0.0,197.0,66,337,6,1,7
0,Espresso,AND,1,0.0,-25.0,58,115,5,236,241
1,Espresso,AND,1,0.0,-24.0,59,116,5,231,237
2,Espresso,AND,2,0.0,-22.0,60,118,4,228,232
3,Espresso,AND,1,0.0,-21.0,61,119,2,213,215
4,Espresso,AND,1,0.0,-20.0,62,120,2,219,221
5,Espresso,AND,1,0.0,-19.0,63,121,2,217,219
6,Espresso,AND,1,0.0,-18.0,64,122,2,214,217
7,Espresso,AND,1,0.0,-17.0,65,123,2,222,224
8,Espresso,AND,2,0.0,-15.0,66,125,4,222,226
10,Espresso,OR,36,0.0,21.0,66,161,4,109,113
11,Espresso,OR,35,0.0,56.0,66,196,4,110,114
12,Espresso,OR,35,0.0,91.0,66,231,4,109,113
13,Espresso,OR,35,0.0,126.0,66,266,4,110,114
14,Espresso,OR,35,0.0,161.0,66,301,4,108,112
15,Espresso,OR,36,0.0,197.0,66,337,4,115,119
0,Naive,AND,1,0.0,-25.0,58,115,0,0,1
1,Naive,AND,1,0.0,-24.0,59,116,0,0,0
2,Naive,AND,2,0.0,-22.0,60,118,0,0,0
3,Naive,AND,1,0.0,-21.0,61,119,0,0,0
4,Naive,AND,1,0.0,-20.0,62,120,0,0,0
5,Naive,AND,1,0.0,-19.0,63,121,0,0,0
6,Naive,AND,1,0.0,-18.0,64,122,0,0,0
7,Naive,AND,1,0.0,-17.0,65,123,0,0,0
8,Naive,AND,2,0.0,-15.0,66,125,0,0,0
10,Naive,OR,36,0.0,2361.0,66,2501,0,0,0
11,Naive,OR,35,0.0,4671.0,66,4811,0,0,0
12,Naive,OR,35,0.0,6981.0,66,7121,0,0,0
13,Naive,OR,35,0.0,9291.0,66,9431,0,0,1
14,Naive,OR,35,0.0,11601.0,66,11741,0,0,0
15,Naive,OR,36,0.0,13977.0,66,14117,0,0,0
