step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
0,onlySelection,OR,35,0.0,9.0,57,149,3,0,3
1,onlySelection,OR,35,0.0,44.0,57,184,3,0,3
2,onlySelection,OR,35,0.0,79.0,57,219,3,0,3
3,onlySelection,OR,35,0.0,114.0,57,254,3,1,4
4,onlySelection,OR,36,0.0,150.0,57,290,3,0,3
5,onlySelection,OR,36,0.0,186.0,57,326,4,1,5
7,onlySelection,AND,1,0.0,187.0,58,327,10,0,10
8,onlySelection,AND,1,0.0,188.0,59,328,11,0,11
9,onlySelection,AND,2,0.0,190.0,60,330,11,0,11
10,onlySelection,AND,2,0.0,192.0,61,332,11,0,11
11,onlySelection,AND,1,0.0,193.0,62,333,10,0,10
12,onlySelection,AND,1,0.0,194.0,63,334,10,1,11
13,onlySelection,AND,1,0.0,195.0,64,335,12,0,12
14,onlySelection,AND,1,0.0,196.0,65,336,10,1,11
15,onlySelection,AND,1,0.0,197.0,66,337,11,0,11
0,JBool,OR,35,0.0,71.0,57,211,4,10,14
1,JBool,OR,35,0.0,73.0,57,213,4,82,87
2,JBool,OR,35,0.0,170.0,57,310,3,15,18
3,JBool,OR,35,0.0,172.0,57,312,6,101,107
4,JBool,OR,36,0.0,208.0,57,348,4,246,250
5,JBool,OR,36,0.0,199.0,57,339,3,544,547
7,JBool,AND,1,0.0,200.0,58,340,10,1,11
8,JBool,AND,1,0.0,201.0,59,341,10,18,28
9,JBool,AND,2,0.0,203.0,60,343,11,25,36
10,JBool,AND,1,0.0,204.0,61,344,11,22,33
11,JBool,AND,1,0.0,205.0,62,345,10,17,27
12,JBool,AND,1,0.0,206.0,63,346,11,17,28
13,JBool,AND,1,0.0,207.0,64,347,11,25,36
14,JBool,AND,1,0.0,208.0,65,348,13,19,32
15,JBool,AND,2,0.0,210.0,66,350,12,2,14
0,Espresso,OR,35,0.0,9.0,57,149,4,58,62
1,Espresso,OR,35,0.0,44.0,57,184,3,57,60
2,Espresso,OR,35,0.0,79.0,57,219,3,51,54
3,Espresso,OR,35,0.0,114.0,57,254,3,51,54
4,Espresso,OR,36,0.0,150.0,57,290,4,51,55
5,Espresso,OR,36,0.0,186.0,57,326,4,50,54
7,Espresso,AND,1,0.0,187.0,58,327,11,108,120
8,Espresso,AND,1,0.0,188.0,59,328,10,105,115
9,Espresso,AND,2,0.0,190.0,60,330,11,109,121
10,Espresso,AND,2,0.0,192.0,61,332,12,110,123
11,Espresso,AND,1,0.0,193.0,62,333,11,102,113
12,Espresso,AND,1,0.0,194.0,63,334,12,103,115
13,Espresso,AND,1,0.0,195.0,64,335,10,103,113
14,Espresso,AND,1,0.0,196.0,65,336,10,103,113
15,Espresso,AND,1,0.0,197.0,66,337,11,100,111
0,Naive,OR,35,0.0,1969.0,57,2109,0,0,1
1,Naive,OR,35,0.0,3964.0,57,4104,0,0,0
2,Naive,OR,35,0.0,5959.0,57,6099,0,0,0
3,Naive,OR,35,0.0,7954.0,57,8094,0,0,0
4,Naive,OR,36,0.0,10006.0,57,10146,0,0,0
5,Naive,OR,36,0.0,12058.0,57,12198,0,0,0
7,Naive,AND,1,0.0,12059.0,58,12199,0,0,0
8,Naive,AND,1,0.0,12060.0,59,12200,0,0,0
9,Naive,AND,2,0.0,12062.0,60,12202,0,0,0
10,Naive,AND,1,0.0,12063.0,61,12203,0,0,0
11,Naive,AND,1,0.0,12064.0,62,12204,0,0,0
12,Naive,AND,1,0.0,12065.0,63,12205,0,0,0
13,Naive,AND,1,0.0,12066.0,64,12206,0,0,0
14,Naive,AND,1,0.0,12067.0,65,12207,0,0,0
15,Naive,AND,2,0.0,12069.0,66,12209,0,0,0
