step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
0,onlySelection,OR,35,0.0,9.0,57,149,4,0,4
1,onlySelection,AND,1,0.0,10.0,58,150,4,0,4
2,onlySelection,AND,1,0.0,11.0,59,151,3,0,3
3,onlySelection,OR,35,0.0,46.0,59,186,3,1,4
4,onlySelection,OR,35,0.0,81.0,59,221,3,0,3
5,onlySelection,OR,35,0.0,116.0,59,256,3,0,3
6,onlySelection,OR,36,0.0,152.0,59,292,4,0,4
7,onlySelection,AND,2,0.0,154.0,60,294,9,0,9
8,onlySelection,AND,1,0.0,155.0,61,295,7,0,7
9,onlySelection,AND,2,0.0,157.0,62,297,8,0,8
10,onlySelection,AND,1,0.0,158.0,63,298,8,0,8
11,onlySelection,AND,1,0.0,159.0,64,299,8,0,8
12,onlySelection,AND,1,0.0,160.0,65,300,8,0,8
13,onlySelection,OR,36,0.0,196.0,65,336,4,0,4
14,onlySelection,AND,1,0.0,197.0,66,337,12,0,12
0,JBool,OR,35,0.0,71.0,57,211,4,9,13
1,JBool,AND,1,0.0,72.0,58,212,4,0,4
2,JBool,AND,1,0.0,73.0,59,213,4,16,20
3,JBool,AND,2,0.0,75.0,60,215,5,17,22
4,JBool,OR,35,0.0,77.0,60,217,3,93,96
5,JBool,OR,35,0.0,174.0,60,314,3,16,19
6,JBool,AND,1,0.0,175.0,61,315,8,17,25
7,JBool,AND,1,0.0,176.0,62,316,8,17,25
8,JBool,OR,36,0.0,212.0,62,352,4,273,277
9,JBool,AND,1,0.0,213.0,63,353,12,16,28
10,JBool,OR,36,0.0,238.0,63,378,4,597,601
11,JBool,AND,1,0.0,239.0,64,379,13,17,30
12,JBool,OR,35,0.0,207.0,64,347,3,313,317
13,JBool,AND,1,0.0,208.0,65,348,11,17,28
15,JBool,AND,2,0.0,210.0,66,350,13,1,14
0,Espresso,AND,1,0.0,-25.0,58,115,2,108,111
1,Espresso,AND,1,0.0,-24.0,59,116,4,124,128
2,Espresso,OR,36,0.0,12.0,59,152,3,51,54
3,Espresso,AND,2,0.0,14.0,60,154,4,102,106
4,Espresso,OR,35,0.0,49.0,60,189,4,51,56
5,Espresso,OR,35,0.0,84.0,60,224,3,53,56
6,Espresso,AND,1,0.0,85.0,61,225,5,102,108
7,Espresso,AND,1,0.0,86.0,62,226,4,105,109
8,Espresso,OR,35,0.0,121.0,62,261,3,51,54
9,Espresso,AND,2,0.0,123.0,63,263,8,102,110
10,Espresso,AND,1,0.0,124.0,64,264,6,114,120
11,Espresso,OR,35,0.0,159.0,64,299,4,63,67
12,Espresso,AND,1,0.0,160.0,65,300,8,115,123
13,Espresso,OR,36,0.0,196.0,65,336,4,65,69
14,Espresso,AND,1,0.0,197.0,66,337,10,112,122
0,Naive,AND,1,0.0,-25.0,58,115,0,0,0
1,Naive,OR,36,0.0,2063.0,58,2203,0,0,0
2,Naive,AND,1,0.0,2064.0,59,2204,0,0,0
3,Naive,OR,35,0.0,4129.0,59,4269,0,0,0
4,Naive,AND,2,0.0,4131.0,60,4271,0,0,0
5,Naive,OR,35,0.0,6231.0,60,6371,0,0,0
6,Naive,AND,1,0.0,6232.0,61,6372,0,0,0
7,Naive,OR,35,0.0,8367.0,61,8507,0,0,0
8,Naive,AND,1,0.0,8368.0,62,8508,0,0,0
9,Naive,AND,1,0.0,8369.0,63,8509,0,0,0
10,Naive,AND,1,0.0,8370.0,64,8510,0,0,0
11,Naive,OR,35,0.0,10610.0,64,10750,0,0,0
12,Naive,AND,1,0.0,10611.0,65,10751,0,0,0
13,Naive,OR,36,0.0,12951.0,65,13091,0,0,0
14,Naive,AND,2,0.0,12953.0,66,13093,0,0,0
