step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
0,Espresso,AND,1,0.0,-1741.0,910,1957,90,116,207
1,Espresso,AND,2,0.0,-1739.0,911,1959,78,100,178
2,Espresso,AND,2,0.0,-1737.0,912,1961,16,100,116
3,Espresso,AND,2,0.0,-1735.0,913,1963,31,115,146
4,Espresso,AND,2,0.0,-1733.0,914,1965,24,103,127
5,Espresso,AND,2,0.0,-1731.0,915,1967,38,100,138
6,Espresso,AND,2,0.0,-1729.0,916,1969,47,117,164
7,Espresso,AND,2,0.0,-1727.0,917,1971,31,100,131
8,Espresso,AND,2,0.0,-1725.0,918,1973,30,100,138
9,Espresso,AND,2,0.0,-1723.0,919,1975,31,101,132
10,Espresso,AND,2,0.0,-1721.0,920,1977,32,100,132
11,Espresso,AND,2,0.0,-1719.0,921,1979,31,100,131
12,Espresso,AND,2,0.0,-1717.0,922,1981,34,147,181
13,Espresso,AND,2,0.0,-1715.0,923,1983,32,100,132
14,Espresso,AND,2,0.0,-1713.0,924,1985,31,100,131
15,Espresso,AND,2,0.0,-1711.0,925,1987,32,89,121
16,Espresso,AND,2,0.0,-1709.0,926,1989,17,102,132
17,Espresso,AND,2,0.0,-1707.0,927,1991,31,100,131
18,Espresso,AND,2,0.0,-1705.0,928,1993,38,100,138
19,Espresso,AND,2,0.0,-1703.0,929,1995,81,103,184
20,Espresso,AND,2,0.0,-1701.0,930,1997,32,131,178
21,Espresso,AND,2,0.0,-1699.0,931,1999,38,100,138
22,Espresso,AND,2,0.0,-1697.0,932,2001,31,116,147
23,Espresso,AND,2,0.0,-1695.0,933,2003,18,100,119
24,Espresso,AND,2,0.0,-1693.0,934,2005,16,107,123
25,Espresso,AND,2,0.0,-1691.0,935,2007,32,100,132
26,Espresso,AND,2,0.0,-1689.0,936,2009,29,123,152
27,Espresso,AND,2,0.0,-1687.0,937,2011,32,99,131
28,Espresso,AND,2,0.0,-1685.0,938,2013,20,111,131
29,Espresso,AND,2,0.0,-1683.0,939,2015,32,100,132
30,Espresso,AND,2,0.0,-1681.0,940,2017,32,99,131
31,Espresso,AND,2,0.0,-1679.0,941,2019,38,100,138
32,Espresso,AND,2,0.0,-1677.0,942,2021,31,100,131
33,Espresso,AND,2,0.0,-1675.0,943,2023,32,121,153
34,Espresso,AND,2,0.0,-1673.0,944,2025,31,100,131
35,Espresso,AND,2,0.0,-1671.0,945,2027,53,116,169
36,Espresso,AND,2,0.0,-1669.0,946,2029,37,101,138
37,Espresso,AND,2,0.0,-1667.0,947,2031,32,131,163
38,Espresso,AND,2,0.0,-1665.0,948,2033,18,100,118
39,Espresso,AND,2,0.0,-1663.0,949,2035,38,100,138
40,Espresso,AND,2,0.0,-1661.0,950,2037,32,152,184
