step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
0,Espresso,AND,1,0.0,-1666.0,943,2032,113,63,177
1,Espresso,AND,2,0.0,-1664.0,943,2034,82,56,138
2,Espresso,AND,2,0.0,-1662.0,943,2036,67,65,132
3,Espresso,AND,2,0.0,-1660.0,943,2038,46,57,104
4,Espresso,AND,2,0.0,-1658.0,943,2040,48,56,104
5,Espresso,AND,2,0.0,-1656.0,943,2042,34,54,89
6,Espresso,AND,2,0.0,-1654.0,943,2044,48,55,103
7,Espresso,AND,2,0.0,-1652.0,943,2046,48,55,103
8,Espresso,AND,2,0.0,-1650.0,943,2048,40,56,96
9,Espresso,AND,2,0.0,-1648.0,943,2050,35,57,92
10,Espresso,AND,2,0.0,-1646.0,943,2052,33,55,88
11,Espresso,AND,2,0.0,-1644.0,943,2054,41,53,94
12,Espresso,AND,2,0.0,-1642.0,943,2056,30,53,84
13,Espresso,AND,2,0.0,-1640.0,943,2058,32,55,87
14,Espresso,AND,2,0.0,-1638.0,943,2060,30,56,87
15,Espresso,AND,2,0.0,-1636.0,943,2062,31,55,86
16,Espresso,AND,2,0.0,-1634.0,943,2064,39,57,96
17,Espresso,AND,2,0.0,-1632.0,943,2066,39,56,95
18,Espresso,AND,2,0.0,-1630.0,943,2068,43,54,98
19,Espresso,AND,2,0.0,-1628.0,943,2070,49,53,103
20,Espresso,AND,2,0.0,-1626.0,943,2072,30,55,85
21,Espresso,AND,2,0.0,-1624.0,943,2074,30,55,85
22,Espresso,AND,2,0.0,-1622.0,943,2076,30,56,86
23,Espresso,AND,2,0.0,-1620.0,943,2078,31,56,87
24,Espresso,AND,2,0.0,-1618.0,943,2080,30,55,85
25,Espresso,AND,2,0.0,-1616.0,943,2082,33,55,88
26,Espresso,AND,2,0.0,-1614.0,943,2084,30,55,85
27,Espresso,AND,2,0.0,-1612.0,943,2086,30,55,85
28,Espresso,AND,2,0.0,-1610.0,943,2088,30,55,85
