step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
0,Espresso,OR,457,0.0,543.0,909,4241,770,293,1063
1,Espresso,OR,456,0.0,-1754.0,904,1944,788,319,1107
2,Espresso,OR,458,0.0,-1296.0,904,2402,707,74,781
3,Espresso,OR,458,0.0,-1757.0,903,1941,718,71,789
4,Espresso,OR,457,0.0,-1300.0,903,2398,724,60,784
5,Espresso,OR,456,0.0,-1759.0,902,1939,722,60,782
6,Espresso,OR,457,0.0,-1302.0,902,2396,733,93,826
7,Espresso,OR,456,0.0,-1761.0,901,1937,747,60,807
8,Espresso,OR,456,0.0,519.0,901,4217,721,314,1035
9,Espresso,OR,455,0.0,-1776.0,896,1922,702,332,1034
10,Espresso,OR,456,0.0,-1320.0,896,2378,712,93,805
11,Espresso,OR,455,0.0,-1778.0,895,1920,717,59,776
12,Espresso,OR,456,0.0,-1322.0,895,2376,736,65,801
13,Espresso,OR,455,0.0,-1780.0,894,1918,731,64,795
14,Espresso,OR,456,0.0,-1324.0,894,2374,763,57,820
15,Espresso,OR,455,0.0,-1782.0,893,1916,753,60,813
16,Espresso,OR,456,0.0,-1326.0,893,2372,710,56,766
17,Espresso,OR,455,0.0,-1784.0,892,1914,742,73,815
18,Espresso,OR,456,0.0,-1328.0,892,2370,725,65,790
19,Espresso,OR,455,0.0,-1786.0,891,1912,735,97,832
20,Espresso,OR,444,0.0,-454.0,891,3244,689,169,858
21,Espresso,OR,456,0.0,1380.0,890,5078,713,337,1050
22,Espresso,OR,455,0.0,-915.0,885,2783,722,319,1041
23,Espresso,OR,456,0.0,-459.0,885,3239,708,56,764
24,Espresso,OR,455,0.0,-917.0,884,2781,706,73,779
25,Espresso,OR,456,0.0,-461.0,884,3237,731,56,787
26,Espresso,OR,455,0.0,-919.0,883,2779,729,61,790
27,Espresso,OR,456,0.0,-463.0,883,3235,729,57,786
28,Espresso,OR,455,0.0,-921.0,882,2777,722,60,782
29,Espresso,OR,456,0.0,-465.0,882,3233,714,56,770
30,Espresso,OR,455,0.0,-923.0,881,2775,737,71,808
31,Espresso,OR,456,0.0,-1369.0,880,2329,704,66,770
32,Espresso,OR,454,0.0,-1815.0,879,1883,731,59,790
33,Espresso,OR,453,0.0,-456.0,879,3242,709,173,882
34,Espresso,OR,452,0.0,-1369.0,876,2329,741,277,1018
35,Espresso,OR,452,0.0,-1823.0,875,1875,722,59,781
36,Espresso,OR,449,0.0,-1374.0,875,2324,690,57,747
37,Espresso,OR,450,0.0,-1825.0,874,1873,678,60,738
38,Espresso,OR,450,0.0,-1375.0,874,2323,750,57,807
39,Espresso,OR,454,0.0,-1827.0,873,1871,705,59,764
40,Espresso,OR,449,0.0,-1378.0,873,2320,684,57,741
41,Espresso,OR,450,0.0,-1829.0,872,1869,686,71,757
42,Espresso,OR,451,0.0,-1378.0,872,2320,701,67,768
43,Espresso,OR,451,0.0,-1831.0,871,1867,745,59,804
44,Espresso,OR,447,0.0,-1384.0,871,2314,692,56,748
45,Espresso,OR,450,0.0,-1833.0,870,1865,662,64,726
46,Espresso,OR,445,0.0,-1388.0,870,2310,641,70,711
47,Espresso,OR,457,0.0,-931.0,870,2767,687,63,750
48,Espresso,OR,456,0.0,-1390.0,869,2308,686,71,757
49,Espresso,OR,444,0.0,-1399.0,868,2299,658,119,777
50,Espresso,OR,456,0.0,-1851.0,867,1847,695,60,755
51,Espresso,OR,444,0.0,-963.0,867,2735,692,113,805
52,Espresso,OR,458,0.0,-47.0,867,3651,727,102,829
53,Espresso,OR,456,0.0,-967.0,865,2731,719,120,839
54,Espresso,OR,453,0.0,-1859.0,863,1839,677,119,796
56,Espresso,AND,1,0.0,-1858.0,864,1840,16,102,118
57,Espresso,AND,2,0.0,-1856.0,865,1842,31,100,131
58,Espresso,AND,2,0.0,-1854.0,866,1844,22,100,122
59,Espresso,AND,2,0.0,-1852.0,867,1846,32,100,132
60,Espresso,AND,2,0.0,-1850.0,868,1848,30,101,131
61,Espresso,AND,2,0.0,-1848.0,869,1850,34,108,142
62,Espresso,AND,2,0.0,-1846.0,870,1852,47,100,147
63,Espresso,AND,2,0.0,-1844.0,871,1854,19,100,119
64,Espresso,AND,2,0.0,-1842.0,872,1856,32,100,132
65,Espresso,AND,2,0.0,-1840.0,873,1858,44,93,137
66,Espresso,AND,2,0.0,-1838.0,874,1860,31,101,132
67,Espresso,AND,2,0.0,-1836.0,875,1862,22,100,122
68,Espresso,AND,2,0.0,-1834.0,876,1864,32,112,144
69,Espresso,AND,2,0.0,-1832.0,877,1866,22,115,137
70,Espresso,AND,2,0.0,-1830.0,878,1868,15,114,129
71,Espresso,AND,2,0.0,-1828.0,879,1870,39,106,145
72,Espresso,AND,2,0.0,-1826.0,880,1872,31,116,147
73,Espresso,AND,2,0.0,-1824.0,881,1874,15,119,134
74,Espresso,AND,2,0.0,-1822.0,882,1876,32,99,131
75,Espresso,AND,2,0.0,-1820.0,883,1878,37,101,138
76,Espresso,AND,2,0.0,-1818.0,884,1880,47,84,131
77,Espresso,AND,2,0.0,-1816.0,885,1882,37,101,138
78,Espresso,AND,2,0.0,-1814.0,886,1884,32,111,143
79,Espresso,AND,2,0.0,-1812.0,887,1886,35,101,136
80,Espresso,AND,2,0.0,-1810.0,888,1888,31,100,131
81,Espresso,AND,2,0.0,-1808.0,889,1890,47,101,148
82,Espresso,AND,2,0.0,-1806.0,890,1892,26,99,125
83,Espresso,AND,2,0.0,-1804.0,891,1894,31,101,132
84,Espresso,AND,2,0.0,-1802.0,892,1896,31,103,134
85,Espresso,AND,2,0.0,-1800.0,893,1898,22,101,123
86,Espresso,AND,2,0.0,-1798.0,894,1900,42,101,143
