step,method,type,flit,BFED,BFCD,constraints,literals,timeSelection,timeSimplification,timeTotal
0,Espresso,AND,1,0.0,-1741.0,910,1957,26,101,127
1,Espresso,OR,457,0.0,544.0,910,4242,780,312,1092
2,Espresso,OR,456,0.0,-1753.0,905,1945,755,307,1062
3,Espresso,OR,457,0.0,-1296.0,905,2402,757,70,827
4,Espresso,AND,2,0.0,-1294.0,906,2404,85,100,185
5,Espresso,OR,456,0.0,-1753.0,905,1945,782,59,841
6,Espresso,AND,2,0.0,-1751.0,906,1947,36,92,128
7,Espresso,OR,457,0.0,-1294.0,906,2404,737,57,794
8,Espresso,OR,456,0.0,-1753.0,905,1945,764,67,831
9,Espresso,AND,2,0.0,-1751.0,906,1947,16,100,116
10,Espresso,AND,2,0.0,-1749.0,907,1949,32,100,132
11,Espresso,AND,2,0.0,-1747.0,908,1951,31,100,131
12,Espresso,AND,2,0.0,-1745.0,909,1953,43,94,137
13,Espresso,AND,2,0.0,-1743.0,910,1955,31,100,131
14,Espresso,AND,2,0.0,-1741.0,911,1957,21,101,122
15,Espresso,AND,2,0.0,-1739.0,912,1959,31,101,132
16,Espresso,AND,2,0.0,-1737.0,913,1961,32,92,124
17,Espresso,AND,2,0.0,-1735.0,914,1963,31,122,153
18,Espresso,AND,2,0.0,-1733.0,915,1965,40,100,140
19,Espresso,AND,2,0.0,-1731.0,916,1967,47,100,147
20,Espresso,OR,456,0.0,549.0,916,4247,748,313,1061
21,Espresso,OR,455,0.0,-1746.0,911,1952,726,316,1042
22,Espresso,OR,456,0.0,-1290.0,911,2408,739,64,803
23,Espresso,AND,2,0.0,-1288.0,912,2410,71,105,176
24,Espresso,OR,455,0.0,-1746.0,911,1952,722,60,782
25,Espresso,AND,2,0.0,-1744.0,912,1954,16,100,116
26,Espresso,AND,2,0.0,-1742.0,913,1956,20,100,120
27,Espresso,AND,2,0.0,-1740.0,914,1958,16,147,163
28,Espresso,OR,456,0.0,-1284.0,914,2414,746,59,805
29,Espresso,AND,2,0.0,-1282.0,915,2416,69,116,185
30,Espresso,AND,2,0.0,-1280.0,916,2418,84,117,201
31,Espresso,OR,455,0.0,-1738.0,915,1960,743,60,803
32,Espresso,OR,456,0.0,-1282.0,915,2416,746,69,815
33,Espresso,OR,455,0.0,-1740.0,914,1958,737,60,797
34,Espresso,AND,2,0.0,-1738.0,915,1960,31,100,131
35,Espresso,AND,2,0.0,-1736.0,916,1962,40,91,131
36,Espresso,OR,456,0.0,-1280.0,916,2418,754,60,814
37,Espresso,AND,2,0.0,-1278.0,917,2420,100,100,200
38,Espresso,AND,2,0.0,-1276.0,918,2422,96,102,198
39,Espresso,AND,2,0.0,-1274.0,919,2424,97,104,201
40,Espresso,AND,2,0.0,-1272.0,920,2426,90,107,197
41,Espresso,AND,2,0.0,-1270.0,921,2428,88,96,184
42,Espresso,OR,455,0.0,-1728.0,920,1970,735,59,794
43,Espresso,AND,2,0.0,-1726.0,921,1972,32,100,132
44,Espresso,OR,456,0.0,-1270.0,921,2428,757,57,814
45,Espresso,AND,2,0.0,-1268.0,922,2430,67,116,183
46,Espresso,OR,455,0.0,-1726.0,921,1972,750,60,810
47,Espresso,OR,455,0.0,-816.0,921,2882,730,102,832
48,Espresso,AND,2,0.0,-814.0,922,2884,140,107,247
49,Espresso,AND,2,0.0,-812.0,923,2886,138,100,238
50,Espresso,OR,456,0.0,1011.0,922,4709,764,349,1113
51,Espresso,AND,2,0.0,1013.0,923,4711,355,116,471
52,Espresso,OR,455,0.0,-1282.0,918,2416,770,331,1101
53,Espresso,OR,456,0.0,-1739.0,917,1959,751,58,809
54,Espresso,AND,2,0.0,-1737.0,918,1961,33,99,132
55,Espresso,AND,2,0.0,-1735.0,919,1963,30,101,131
56,Espresso,OR,456,0.0,-1279.0,919,2419,783,56,839
57,Espresso,OR,455,0.0,-1737.0,918,1961,747,60,807
58,Espresso,OR,456,0.0,-1281.0,918,2417,757,55,812
59,Espresso,OR,455,0.0,-1739.0,917,1959,745,58,803
60,Espresso,AND,2,0.0,-1737.0,918,1961,31,109,140
61,Espresso,AND,2,0.0,-1735.0,919,1963,22,116,138
62,Espresso,AND,2,0.0,-1733.0,920,1965,15,116,131
63,Espresso,OR,456,0.0,-1277.0,920,2421,746,65,811
64,Espresso,OR,455,0.0,-1735.0,919,1963,754,59,813
65,Espresso,OR,456,0.0,-1279.0,919,2419,736,72,808
66,Espresso,AND,2,0.0,-1277.0,920,2421,85,100,185
67,Espresso,OR,455,0.0,-1735.0,919,1963,729,84,813
68,Espresso,OR,456,0.0,-1279.0,919,2419,767,58,825
69,Espresso,AND,2,0.0,-1277.0,920,2421,84,132,216
70,Espresso,AND,2,0.0,-1275.0,921,2423,84,116,200
71,Espresso,AND,2,0.0,-1273.0,922,2425,84,100,184
72,Espresso,OR,455,0.0,-1731.0,921,1967,755,60,815
73,Espresso,OR,458,0.0,-815.0,921,2883,753,106,859
74,Espresso,OR,456,0.0,-1735.0,919,1963,737,115,852
75,Espresso,OR,453,0.0,-1282.0,919,2416,716,55,771
76,Espresso,AND,2,0.0,-1280.0,920,2418,101,100,201
77,Espresso,OR,454,0.0,-1287.0,919,2411,746,115,861
78,Espresso,AND,2,0.0,-1285.0,920,2413,116,100,216
79,Espresso,AND,2,0.0,-1283.0,921,2415,85,100,185
80,Espresso,OR,456,0.0,-1745.0,920,1953,732,74,806
81,Espresso,OR,457,0.0,-1288.0,920,2410,740,55,795
82,Espresso,AND,2,0.0,-1286.0,921,2412,87,97,184
83,Espresso,OR,456,0.0,-1745.0,920,1953,744,60,804
84,Espresso,OR,450,0.0,-1295.0,920,2403,786,67,853
85,Espresso,OR,450,0.0,-1748.0,919,1950,722,60,782
86,Espresso,AND,2,0.0,-1746.0,920,1952,47,98,145
87,Espresso,AND,2,0.0,-1744.0,921,1954,16,100,116
88,Espresso,AND,2,0.0,-1742.0,922,1956,31,100,131
89,Espresso,OR,445,0.0,-852.0,922,2846,731,126,857
90,Espresso,OR,448,0.0,-1746.0,920,1952,716,107,823
91,Espresso,OR,440,0.0,-1306.0,920,2392,695,55,750
