model,mut,features,constraints,literals
Example,RC,2,1,2
Example,RC,2,1,2
Example,RC,2,1,2
Example,RC,2,1,2
Example,RC,2,1,2
Example,RC,2,1,2
Example,RC,2,1,2
Example,RC,2,1,2
Example,RC,2,1,2
Example,RC,2,1,2
Example,RL,3,2,3
Example,RL,2,2,3
Example,RL,3,2,3
Example,RL,2,2,3
Example,RL,3,2,3
Example,RL,2,2,3
Example,RL,2,2,3
Example,RL,2,2,3
Example,RL,2,2,3
Example,RL,3,2,3
Example,SL,2,2,4
Example,SL,3,2,4
Example,SL,3,2,4
Example,SL,3,2,4
Example,SL,3,2,4
Example,SL,3,2,4
Example,SL,3,2,4
Example,SL,3,2,4
Example,SL,3,2,4
Example,SL,3,2,4
Register,RC,2,1,2
Register,RC,2,1,2
Register,RC,3,1,3
Register,RC,2,1,2
Register,RC,3,1,3
Register,RC,3,1,3
Register,RC,2,1,2
Register,RC,3,1,3
Register,RC,3,1,3
Register,RC,3,1,3
Register,RL,3,2,4
Register,RL,4,2,4
Register,RL,3,2,4
Register,RL,4,2,4
Register,RL,4,2,4
Register,RL,3,2,4
Register,RL,3,2,4
Register,RL,3,2,4
Register,RL,3,2,4
Register,RL,4,2,4
Register,SL,4,2,5
Register,SL,4,2,5
Register,SL,3,2,5
Register,SL,4,2,5
Register,SL,3,2,5
Register,SL,4,2,5
Register,SL,3,2,5
Register,SL,3,2,5
Register,SL,3,2,5
Register,SL,3,2,5
Django,RC,5,4,9
Django,RC,5,4,9
Django,RC,4,4,11
Django,RC,5,4,9
Django,RC,4,4,11
Django,RC,5,4,9
Django,RC,5,4,9
Django,RC,5,4,9
Django,RC,4,4,11
Django,RC,5,4,9
Django,RL,5,5,11
Django,RL,4,4,11
Django,RL,5,5,11
Django,RL,5,5,11
Django,RL,5,5,11
Django,RL,4,4,11
Django,RL,4,5,11
Django,RL,5,5,11
Django,RL,4,5,11
Django,RL,5,5,11
Django,SL,6,5,12
Django,SL,6,5,12
Django,SL,5,5,12
Django,SL,5,5,12
Django,SL,5,5,12
Django,SL,6,5,12
Django,SL,5,5,12
Django,SL,6,5,12
Django,SL,6,5,12
Django,SL,6,5,12
TightVNC,RC,24,11,45
TightVNC,RC,24,11,53
TightVNC,RC,24,11,53
TightVNC,RC,24,11,53
TightVNC,RC,24,11,53
TightVNC,RC,24,11,53
TightVNC,RC,24,11,45
TightVNC,RC,24,11,45
TightVNC,RC,24,11,53
TightVNC,RC,24,11,53
TightVNC,RL,24,12,54
TightVNC,RL,24,12,54
TightVNC,RL,24,12,54
TightVNC,RL,24,12,54
TightVNC,RL,24,12,54
TightVNC,RL,24,12,54
TightVNC,RL,24,12,54
TightVNC,RL,24,12,54
TightVNC,RL,24,12,54
TightVNC,RL,24,12,54
TightVNC,SL,24,12,55
TightVNC,SL,24,12,55
TightVNC,SL,24,12,55
TightVNC,SL,24,12,55
TightVNC,SL,24,12,55
TightVNC,SL,24,12,55
TightVNC,SL,24,12,55
TightVNC,SL,24,12,55
TightVNC,SL,24,12,55
TightVNC,SL,24,12,55
