idconf,mutation,steps,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
1,REMOVE_LITERAL,27,Naïve,OR,18,24,6246,12050,111961,11267.0,234.0,0,0
1,REMOVE_LITERAL,27,OnlySelec,OR,18,24,570,1061,10172,939.0,14.0,0,190
1,REMOVE_LITERAL,27,ATGT,OR,18,24,568,1055,10125,935.0,14.0,0,5510
1,REMOVE_LITERAL,27,Espresso,OR,18,24,570,1061,10172,939.0,14.0,0,296
1,REMOVE_LITERAL,27,JBool,OR,18,24,459,567,8342,461.0,14.0,0,529
2,REMOVE_LITERAL,13,Naïve,OR,19,24,2970,5870,53581,5470.0,234.0,0,0
2,REMOVE_LITERAL,13,OnlySelec,OR,19,24,297,546,5352,455.0,22.0,0,204
2,REMOVE_LITERAL,13,ATGT,OR,19,24,295,541,5312,451.0,22.0,0,5432
2,REMOVE_LITERAL,13,Espresso,OR,19,24,297,546,5352,455.0,22.0,0,307
2,REMOVE_LITERAL,13,JBool,OR,19,24,145,187,2760,142.0,22.0,0,271
3,REMOVE_CONSTRAINT,8,Naïve,AND,19,24,184,323,3305,245.0,135.0,0,0
3,REMOVE_CONSTRAINT,8,OnlySelec,AND,19,24,184,323,3279,243.0,8.0,9,0
3,REMOVE_CONSTRAINT,8,ATGT,AND,19,24,184,323,3279,243.0,8.0,10,5003
3,REMOVE_CONSTRAINT,8,Espresso,AND,19,24,184,324,3277,246.0,8.0,10,73
3,REMOVE_CONSTRAINT,8,JBool,AND,19,24,184,250,3217,179.0,8.0,8,20
4,SUBSTITUTE_LITERAL,37,Naïve,AND,23,24,9215,17250,164006,16168.0,608.0,0,0
4,SUBSTITUTE_LITERAL,37,OnlySelec,AND,23,24,793,1478,14169,1336.0,14.0,117,0
4,SUBSTITUTE_LITERAL,37,ATGT,AND,23,24,792,1476,14161,1334.0,14.0,303,5844
4,SUBSTITUTE_LITERAL,37,Espresso,AND,23,24,793,1479,14165,1335.0,14.0,124,69
4,SUBSTITUTE_LITERAL,37,JBool,AND,23,24,494,713,8500,638.0,14.0,35,885
5,REMOVE_CONSTRAINT,25,Naïve,AND,19,24,406,690,6830,580.0,374.0,0,0
5,REMOVE_CONSTRAINT,25,OnlySelec,AND,19,24,406,690,6736,561.0,6.0,16,0
5,REMOVE_CONSTRAINT,25,ATGT,AND,19,24,405,688,6728,559.0,6.0,31,5227
5,REMOVE_CONSTRAINT,25,Espresso,AND,19,24,406,691,6734,564.0,6.0,26,58
5,REMOVE_CONSTRAINT,25,JBool,AND,19,24,406,651,6722,538.0,6.0,22,77
6,REMOVE_LITERAL,115,Naïve,OR,21,24,23730,41258,416174,-12.0,234.0,0,0
6,REMOVE_LITERAL,115,OnlySelec,OR,21,24,2027,3495,35283,-1.0,22.0,0,198
6,REMOVE_LITERAL,115,ATGT,OR,21,24,2025,3491,35249,-1.0,22.0,0,5411
6,REMOVE_LITERAL,115,Espresso,OR,21,24,53,61,976,3.0,-3.0,0,168
6,REMOVE_LITERAL,115,JBool,OR,21,24,251,325,4410,296.0,22.0,0,1182
