idconf,mutation,steps,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
1,REMOVE_LITERAL,3,Naïve,OR,4,5,13,14,147,17.0,3.0,0,0
1,REMOVE_LITERAL,3,OnlySelec,OR,4,5,9,8,104,9.0,1.0,0,31
1,REMOVE_LITERAL,3,ATGT,OR,4,5,8,6,92,8.0,1.0,0,1240
1,REMOVE_LITERAL,3,Espresso,OR,4,4,8,10,99,10.0,1.0,0,80
1,REMOVE_LITERAL,3,JBool,OR,4,4,8,10,99,10.0,1.0,0,67
2,SUBSTITUTE_LITERAL,4,Naïve,AND,3,5,15,19,160,22.0,6.0,0,0
2,SUBSTITUTE_LITERAL,4,OnlySelec,AND,3,5,12,14,122,15.0,1.0,0,0
2,SUBSTITUTE_LITERAL,4,ATGT,AND,3,5,9,10,98,9.0,1.0,0,1087
2,SUBSTITUTE_LITERAL,4,Espresso,AND,3,5,12,15,120,15.0,1.0,13,48
2,SUBSTITUTE_LITERAL,4,JBool,AND,3,5,10,10,105,10.0,1.0,0,0
3,SUBSTITUTE_LITERAL,3,Naïve,AND,4,5,10,9,111,8.0,4.0,0,0
3,SUBSTITUTE_LITERAL,3,OnlySelec,AND,4,5,10,9,115,8.0,1.0,0,0
3,SUBSTITUTE_LITERAL,3,ATGT,AND,4,4,6,7,71,6.0,1.0,0,1055
3,SUBSTITUTE_LITERAL,3,Espresso,AND,4,4,9,11,110,10.0,1.0,7,48
3,SUBSTITUTE_LITERAL,3,JBool,AND,4,4,6,8,70,7.0,1.0,0,0
4,REMOVE_CONSTRAINT,3,Naïve,AND,4,5,7,6,70,9.0,1.0,0,0
4,REMOVE_CONSTRAINT,3,OnlySelec,AND,4,5,7,6,74,11.0,-2.0,0,0
4,REMOVE_CONSTRAINT,3,ATGT,AND,4,5,6,5,66,10.0,-2.0,0,1071
4,REMOVE_CONSTRAINT,3,Espresso,AND,4,4,6,8,69,12.0,-2.0,14,52
4,REMOVE_CONSTRAINT,3,JBool,AND,4,4,6,8,69,13.0,-2.0,0,2
5,SUBSTITUTE_LITERAL,4,Naïve,AND,4,5,13,15,153,15.0,8.0,0,0
5,SUBSTITUTE_LITERAL,4,OnlySelec,AND,4,5,13,15,159,14.0,0.0,0,0
5,SUBSTITUTE_LITERAL,4,ATGT,AND,4,5,11,13,140,12.0,0.0,0,1118
5,SUBSTITUTE_LITERAL,4,Espresso,AND,4,4,12,17,154,16.0,0.0,1,48
5,SUBSTITUTE_LITERAL,4,JBool,AND,4,4,12,16,153,17.0,0.0,0,0
6,REMOVE_LITERAL,3,Naïve,OR,2,5,9,10,102,12.0,1.0,0,0
6,REMOVE_LITERAL,3,OnlySelec,OR,2,5,7,6,74,6.0,0.0,0,32
6,REMOVE_LITERAL,3,ATGT,OR,2,5,6,4,65,4.0,0.0,0,1134
