idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
none,NONE,null,42,96,100,1381,0.0,0.0,0,0
3,Naïve,AND,1,42,97,103,1400,3.0,2.0,0,0
3,OnlySelec,AND,1,42,97,103,1400,4.0,0.0,16,0
3,ATGT,AND,1,42,94,100,1355,5.0,-2.0,0,1103
3,Espresso,AND,1,42,97,102,1398,4.0,0.0,0,69
3,JBool,AND,1,42,94,98,1353,4.0,-3.0,0,47
5,Naïve,AND,2,42,98,105,1413,5.0,3.0,0,0
5,OnlySelec,AND,2,42,98,105,1411,5.0,1.0,0,0
5,ATGT,AND,2,42,98,105,1411,5.0,1.0,0,1180
5,Espresso,AND,2,42,98,106,1411,7.0,1.0,0,65
5,JBool,AND,2,42,98,106,1411,7.0,1.0,15,0
6,Naïve,OR,2,42,160,196,2213,160.0,51.0,0,0
6,OnlySelec,OR,2,42,150,181,2083,135.0,46.0,0,432
6,ATGT,OR,2,42,144,175,2007,129.0,46.0,0,31113
6,Espresso,OR,2,41,149,209,2022,162.0,46.0,0,2076
6,JBool,OR,2,41,142,206,1933,185.0,46.0,0,450
7,Naïve,AND,3,42,99,104,1421,5.0,4.0,0,0
7,OnlySelec,AND,3,42,99,104,1419,5.0,2.0,0,0
7,ATGT,AND,3,42,99,104,1419,5.0,2.0,0,1149
7,Espresso,AND,3,42,99,105,1419,7.0,2.0,0,53
7,JBool,AND,3,42,99,105,1419,9.0,2.0,0,0
8,Naïve,OR,3,42,192,228,2631,192.0,91.0,0,0
8,OnlySelec,OR,3,42,189,224,2592,186.0,89.0,0,649
8,ATGT,OR,3,42,185,220,2548,186.0,89.0,0,35993
8,Espresso,OR,3,41,188,256,2523,217.0,89.0,0,2572
8,JBool,OR,3,41,189,258,2532,251.0,89.0,0,555
9,Naïve,AND,4,42,100,107,1450,7.0,5.0,0,0
9,OnlySelec,AND,4,42,100,107,1448,7.0,3.0,0,0
9,ATGT,AND,4,42,100,107,1448,7.0,3.0,0,1236
9,Espresso,AND,4,42,100,108,1448,9.0,3.0,0,62
9,JBool,AND,4,42,100,108,1448,9.0,3.0,0,0
10,Naïve,OR,4,42,224,292,3145,256.0,120.0,0,0
10,OnlySelec,OR,4,42,220,286,3090,248.0,117.0,0,437
10,ATGT,OR,4,42,213,278,3001,244.0,117.0,0,35418
10,Espresso,OR,4,41,219,318,3021,279.0,117.0,0,2321
10,JBool,OR,4,41,233,339,3217,339.0,117.0,0,554
11,Naïve,AND,5,42,101,106,1451,7.0,6.0,0,0
11,OnlySelec,AND,5,42,101,106,1449,7.0,3.0,0,0
11,ATGT,AND,5,42,101,106,1449,7.0,3.0,0,1103
11,Espresso,AND,5,42,101,107,1449,9.0,3.0,0,53
11,JBool,AND,5,42,101,107,1449,11.0,3.0,0,0
12,Naïve,OR,5,42,256,356,4299,320.0,145.0,0,0
12,OnlySelec,OR,5,42,236,324,3935,280.0,129.0,0,647
12,ATGT,OR,5,42,227,312,3813,272.0,129.0,0,32552
12,Espresso,OR,5,41,235,353,3872,308.0,129.0,0,2172
12,JBool,OR,5,41,245,369,4031,351.0,129.0,0,454
13,Naïve,AND,6,42,102,113,1476,14.0,7.0,0,0
13,OnlySelec,AND,6,42,102,113,1474,14.0,5.0,3,0
13,ATGT,AND,6,42,102,113,1474,14.0,5.0,0,1180
13,Espresso,AND,6,42,102,114,1474,16.0,5.0,0,64
13,JBool,AND,6,42,102,114,1474,18.0,5.0,0,0
14,Naïve,OR,6,42,288,324,4429,288.0,169.0,0,0
14,OnlySelec,OR,6,42,276,310,4239,270.0,160.0,0,431
14,ATGT,OR,6,42,259,292,4059,255.0,160.0,0,34666
14,Espresso,OR,6,41,275,341,4172,300.0,160.0,0,2620
14,JBool,OR,6,41,296,376,4437,367.0,160.0,0,770
15,Naïve,AND,7,42,103,114,1489,15.0,8.0,0,0
15,OnlySelec,AND,7,42,103,114,1487,15.0,4.0,16,0
15,ATGT,AND,7,42,102,112,1473,13.0,4.0,0,1187
15,Espresso,AND,7,42,103,115,1485,17.0,4.0,0,47
15,JBool,AND,7,42,103,115,1485,17.0,4.0,0,0
16,Naïve,OR,7,42,320,452,3599,384.0,197.0,0,0
16,OnlySelec,OR,7,42,292,408,3323,336.0,174.0,0,685
16,ATGT,OR,7,42,275,391,3177,322.0,174.0,0,32197
16,Espresso,OR,7,41,291,437,3260,364.0,174.0,0,1991
16,JBool,OR,7,41,322,483,3629,451.0,174.0,0,750
17,Naïve,AND,8,42,104,113,1508,14.0,9.0,0,0
17,OnlySelec,AND,8,42,104,113,1506,14.0,6.0,0,0
17,ATGT,AND,8,42,104,113,1506,14.0,6.0,0,1142
17,Espresso,AND,8,42,104,114,1506,16.0,6.0,0,47
17,JBool,AND,8,42,104,114,1506,18.0,6.0,0,0
18,Naïve,OR,8,42,352,580,5137,480.0,241.0,0,0
18,OnlySelec,OR,8,42,312,505,4552,405.0,207.0,0,732
18,ATGT,OR,8,42,304,493,4446,398.0,207.0,0,31862
18,Espresso,OR,8,41,311,533,4491,432.0,207.0,0,1904
18,JBool,OR,8,41,397,662,5577,635.0,207.0,0,470
19,Naïve,AND,9,42,105,115,1504,16.0,10.0,0,0
19,OnlySelec,AND,9,42,105,115,1502,16.0,6.0,0,0
19,ATGT,AND,9,42,104,113,1488,14.0,6.0,0,1200
19,Espresso,AND,9,42,105,116,1500,18.0,6.0,1,47
19,JBool,AND,9,42,105,116,1500,18.0,6.0,0,0
20,Naïve,OR,9,42,384,580,5587,512.0,265.0,0,0
20,OnlySelec,OR,9,42,303,445,4408,368.0,196.0,0,436
20,ATGT,OR,9,42,296,436,4310,359.0,196.0,0,26497
20,Espresso,OR,9,41,302,469,4357,391.0,196.0,0,1819
20,JBool,OR,9,41,358,550,5064,523.0,196.0,0,732
21,Naïve,AND,10,42,106,116,1536,15.0,11.0,0,0
21,OnlySelec,AND,10,42,106,116,1534,15.0,8.0,0,0
21,ATGT,AND,10,42,106,116,1534,15.0,8.0,16,1115
21,Espresso,AND,10,42,106,117,1534,17.0,8.0,0,84
21,JBool,AND,10,42,106,117,1534,17.0,8.0,0,0
22,Naïve,OR,10,42,416,676,6101,640.0,296.0,0,0
22,OnlySelec,OR,10,42,336,532,4909,480.0,227.0,0,437
22,ATGT,OR,10,42,324,515,4767,467.0,227.0,0,28446
22,Espresso,OR,10,42,336,556,4857,504.0,227.0,0,1887
22,JBool,OR,10,42,425,693,6055,707.0,227.0,0,738
23,Naïve,AND,11,42,107,116,1552,17.0,12.0,0,0
23,OnlySelec,AND,11,42,107,116,1550,17.0,9.0,4,0
23,ATGT,AND,11,42,106,114,1529,15.0,9.0,4,1140
23,Espresso,AND,11,42,107,117,1550,19.0,9.0,0,47
23,JBool,AND,11,42,107,117,1550,21.0,9.0,0,15
24,Naïve,OR,11,42,448,644,6871,608.0,325.0,0,0
24,OnlySelec,OR,11,42,327,457,4990,399.0,217.0,0,616
24,ATGT,OR,11,42,317,442,4842,384.0,217.0,0,24802
24,Espresso,OR,11,41,326,479,4943,420.0,217.0,0,1888
24,JBool,OR,11,41,459,661,6634,701.0,217.0,0,471
25,Naïve,AND,12,42,108,119,1560,20.0,13.0,0,0
25,OnlySelec,AND,12,42,108,119,1558,20.0,10.0,0,0
25,ATGT,AND,12,42,108,119,1558,20.0,10.0,0,1193
25,Espresso,AND,12,42,108,120,1558,22.0,10.0,15,38
25,JBool,AND,12,42,108,120,1558,24.0,10.0,16,0
26,Naïve,OR,12,42,480,644,6553,608.0,355.0,0,0
26,OnlySelec,OR,12,42,372,491,5104,437.0,259.0,0,680
26,ATGT,OR,12,42,358,476,4971,426.0,259.0,0,27097
26,Espresso,OR,12,41,371,515,5051,460.0,259.0,0,1988
26,JBool,OR,12,41,466,659,6306,672.0,259.0,0,813
27,Naïve,AND,13,42,109,123,1579,23.0,14.0,0,0
27,OnlySelec,AND,13,42,109,123,1577,23.0,11.0,0,0
27,ATGT,AND,13,42,108,122,1565,22.0,11.0,0,1185
27,Espresso,AND,13,42,109,124,1577,25.0,11.0,15,47
27,JBool,AND,13,42,109,124,1577,27.0,11.0,16,1
28,Naïve,OR,13,42,512,900,7131,832.0,386.0,0,0
28,OnlySelec,OR,13,42,408,700,5699,624.0,296.0,0,585
28,ATGT,OR,13,42,398,687,5571,614.0,296.0,0,28577
28,Espresso,OR,13,41,407,725,5644,648.0,296.0,0,2004
28,JBool,OR,13,41,512,871,6864,878.0,296.0,0,838
29,Naïve,AND,14,42,110,124,1621,25.0,15.0,0,0
29,OnlySelec,AND,14,42,110,124,1645,25.0,12.0,20,0
29,ATGT,AND,14,42,110,124,1645,25.0,12.0,16,1204
29,Espresso,AND,14,41,109,126,1640,27.0,12.0,0,64
29,JBool,AND,14,41,109,126,1640,27.0,12.0,0,0
30,Naïve,OR,14,42,544,772,8093,704.0,407.0,0,0
30,OnlySelec,OR,14,42,306,415,4540,330.0,198.0,0,647
30,ATGT,OR,14,42,298,406,4450,321.0,198.0,0,18317
30,Espresso,OR,14,41,305,431,4505,345.0,198.0,0,1633
30,JBool,OR,14,41,426,610,6184,593.0,198.0,0,479
31,Naïve,AND,15,42,111,123,1620,24.0,16.0,0,0
31,OnlySelec,AND,15,42,111,123,1646,24.0,13.0,0,0
31,ATGT,AND,15,42,111,123,1646,24.0,13.0,0,1192
31,Espresso,AND,15,41,110,125,1641,26.0,13.0,0,68
31,JBool,AND,15,41,110,125,1641,26.0,13.0,2,0
32,Naïve,OR,15,42,576,900,8255,864.0,451.0,0,0
32,OnlySelec,OR,15,42,441,675,6303,621.0,330.0,0,637
32,ATGT,OR,15,42,430,656,6140,606.0,330.0,0,28202
32,Espresso,OR,15,42,441,698,6253,644.0,330.0,0,1978
32,JBool,OR,15,42,673,1038,9491,1132.0,330.0,0,617
33,Naïve,AND,16,42,112,128,1650,28.0,17.0,0,0
33,OnlySelec,AND,16,42,112,128,1648,28.0,14.0,0,0
33,ATGT,AND,16,42,111,126,1638,26.0,14.0,0,1240
33,Espresso,AND,16,42,112,129,1648,30.0,14.0,0,52
33,JBool,AND,16,42,112,124,1645,26.0,14.0,0,0
34,Naïve,OR,16,42,608,804,8993,736.0,476.0,0,0
34,OnlySelec,OR,16,42,416,540,6149,460.0,300.0,0,864
34,ATGT,OR,16,42,401,522,5961,446.0,300.0,0,24526
34,Espresso,OR,16,41,415,561,6102,480.0,300.0,0,1834
34,JBool,OR,16,41,630,885,9172,931.0,300.0,0,848
35,Naïve,AND,17,42,113,128,1633,27.0,18.0,0,0
35,OnlySelec,AND,17,42,113,128,1631,27.0,14.0,0,0
35,ATGT,AND,17,42,113,128,1631,27.0,14.0,0,1187
35,Espresso,AND,17,42,113,129,1631,29.0,14.0,16,53
35,JBool,AND,17,42,113,129,1631,29.0,14.0,0,0
36,Naïve,OR,17,42,640,868,8547,832.0,502.0,0,0
36,OnlySelec,OR,17,42,368,484,4979,416.0,258.0,0,769
36,ATGT,OR,17,42,362,476,4910,408.0,258.0,0,20062
36,Espresso,OR,17,41,367,501,4942,432.0,258.0,0,1666
36,JBool,OR,17,41,474,664,6292,665.0,258.0,0,785
37,Naïve,AND,18,42,114,129,1665,29.0,19.0,0,0
37,OnlySelec,AND,18,42,114,129,1663,29.0,15.0,8,0
37,ATGT,AND,18,42,114,129,1663,29.0,15.0,16,1164
37,Espresso,AND,18,42,114,130,1663,31.0,15.0,16,84
37,JBool,AND,18,42,114,130,1663,31.0,15.0,15,0
38,Naïve,OR,18,42,672,996,10437,928.0,531.0,0,0
38,OnlySelec,OR,18,42,456,660,7053,580.0,336.0,0,433
38,ATGT,OR,18,42,445,644,6877,567.0,336.0,0,24960
38,Espresso,OR,18,41,455,681,7006,600.0,336.0,0,1851
38,JBool,OR,18,41,695,1044,10027,1085.0,336.0,0,924
39,Naïve,AND,19,42,115,130,1677,31.0,20.0,0,0
39,OnlySelec,AND,19,42,115,130,1675,31.0,16.0,0,0
39,ATGT,AND,19,42,114,128,1654,29.0,16.0,19,1187
39,Espresso,AND,19,42,115,131,1675,33.0,16.0,20,49
39,JBool,AND,19,42,115,130,1674,33.0,16.0,15,0
40,Naïve,OR,19,42,704,996,10567,960.0,565.0,0,0
40,OnlySelec,OR,19,42,495,688,7421,630.0,375.0,0,864
40,ATGT,OR,19,42,482,670,7232,615.0,375.0,0,26222
40,Espresso,OR,19,41,494,710,7372,651.0,375.0,0,1941
40,JBool,OR,19,41,845,1239,12447,1362.0,375.0,0,891
41,Naïve,AND,20,42,116,128,1689,29.0,21.0,0,0
41,OnlySelec,AND,20,42,116,128,1687,29.0,17.0,0,0
41,ATGT,AND,20,42,115,127,1674,28.0,17.0,16,1204
41,Espresso,AND,20,42,116,129,1687,31.0,17.0,0,63
41,JBool,AND,20,42,116,129,1687,33.0,17.0,16,0
42,Naïve,OR,20,42,736,1060,10889,992.0,603.0,0,0
42,OnlySelec,OR,20,42,576,820,8521,744.0,455.0,0,433
42,ATGT,OR,20,42,558,795,8278,724.0,455.0,0,29531
42,Espresso,OR,20,41,575,845,8466,768.0,455.0,0,2104
42,JBool,OR,20,41,1097,1678,15711,1835.0,455.0,0,548
43,Naïve,AND,21,42,117,132,1683,31.0,22.0,0,0
43,OnlySelec,AND,21,42,117,132,1681,31.0,18.0,16,0
43,ATGT,AND,21,42,116,131,1668,30.0,18.0,16,1187
43,Espresso,AND,21,42,117,133,1681,33.0,18.0,16,84
43,JBool,AND,21,42,117,133,1681,35.0,18.0,0,16
44,Naïve,OR,21,42,768,1092,11275,1024.0,616.0,0,0
44,OnlySelec,OR,21,42,390,534,5731,448.0,271.0,0,709
44,ATGT,OR,21,42,377,514,5541,435.0,271.0,0,17952
44,Espresso,OR,21,41,389,549,5696,462.0,271.0,0,1486
44,JBool,OR,21,41,599,868,8780,902.0,271.0,0,501
45,Naïve,AND,22,42,118,137,1699,37.0,23.0,0,0
45,OnlySelec,AND,22,42,118,137,1697,37.0,19.0,0,0
45,ATGT,AND,22,42,118,137,1697,37.0,19.0,16,1217
45,Espresso,AND,22,42,118,138,1697,39.0,19.0,0,85
45,JBool,AND,22,42,118,138,1697,41.0,19.0,16,0
46,Naïve,OR,22,42,800,1284,12525,1216.0,659.0,0,0
46,OnlySelec,OR,22,42,294,433,4544,342.0,191.0,0,632
46,ATGT,OR,22,42,290,428,4485,340.0,191.0,0,11873
46,Espresso,OR,22,41,293,443,4519,351.0,191.0,0,1201
46,JBool,OR,22,41,352,541,5461,476.0,191.0,0,657
47,Naïve,AND,23,42,119,137,1724,38.0,24.0,0,0
47,OnlySelec,AND,23,42,119,137,1766,38.0,21.0,16,0
47,ATGT,AND,23,42,119,137,1766,38.0,21.0,16,1284
47,Espresso,AND,23,41,118,139,1761,40.0,21.0,15,85
47,JBool,AND,23,41,118,139,1761,40.0,21.0,16,17
48,Naïve,OR,23,42,832,1124,12463,1056.0,682.0,0,0
48,OnlySelec,OR,23,42,441,580,6598,495.0,324.0,0,432
48,ATGT,OR,23,42,430,564,6452,481.0,324.0,0,19350
48,Espresso,OR,23,41,440,596,6561,510.0,324.0,0,1687
48,JBool,OR,23,41,560,776,8146,762.0,324.0,0,769
49,Naïve,AND,24,42,120,141,1755,40.0,25.0,0,0
49,OnlySelec,AND,24,42,120,141,1753,40.0,20.0,0,0
49,ATGT,AND,24,42,119,139,1732,38.0,20.0,0,1287
49,Espresso,AND,24,42,120,142,1753,42.0,20.0,15,85
49,JBool,AND,24,42,120,142,1753,44.0,20.0,0,0
50,Naïve,OR,24,42,864,1284,12657,1248.0,718.0,0,0
50,OnlySelec,OR,24,42,480,692,7041,624.0,359.0,0,738
50,ATGT,OR,24,42,466,672,6847,604.0,359.0,0,21136
50,Espresso,OR,24,41,479,709,7004,640.0,359.0,0,1503
50,JBool,OR,24,41,908,1348,12456,1502.0,359.0,0,516
51,Naïve,AND,25,42,121,144,1746,43.0,26.0,0,0
51,OnlySelec,AND,25,42,121,144,1744,43.0,22.0,0,0
51,ATGT,AND,25,42,120,141,1732,41.0,22.0,16,1295
51,Espresso,AND,25,42,121,145,1744,45.0,22.0,15,51
51,JBool,AND,25,42,121,145,1744,45.0,22.0,0,0
52,Naïve,OR,25,42,896,1252,13299,1184.0,746.0,0,0
52,OnlySelec,OR,25,42,521,712,7734,629.0,399.0,0,566
52,ATGT,OR,25,42,507,688,7525,607.0,399.0,0,22234
52,Espresso,OR,25,41,520,730,7695,646.0,399.0,0,1656
52,JBool,OR,25,41,1083,1624,15173,1775.0,399.0,0,532
53,Naïve,AND,26,42,122,144,1747,43.0,27.0,0,0
