idconf,method,type,flit,feat,lit,op,chars,lev,simpl,timeSelection,timeSimplification
none,NONE,null,5,6,3,65,0.0,0.0,0,0
3,Naïve,AND,1,6,7,5,75,2.0,2.0,0,0
3,OnlySelec,AND,1,6,7,5,75,3.0,1.0,2,0
3,ATGT,AND,1,6,7,5,75,3.0,1.0,0,47
3,Espresso,AND,1,5,6,7,70,5.0,1.0,0,61
3,JBool,AND,1,5,6,7,70,7.0,1.0,0,63
3,QM,AND,1,5,8,12,91,12.0,1.0,0,35
4,Naïve,AND,3,5,9,8,99,6.0,4.0,0,0
4,OnlySelec,AND,3,5,9,8,101,6.0,1.0,0,0
4,ATGT,AND,3,5,9,8,101,6.0,1.0,0,0
4,Espresso,AND,3,4,8,10,96,8.0,1.0,0,37
4,JBool,AND,3,4,8,10,96,9.0,1.0,0,0
4,QM,AND,3,4,7,9,88,8.0,1.0,0,16
5,Naïve,AND,4,5,10,9,108,7.0,5.0,0,0
5,OnlySelec,AND,4,5,10,9,112,7.0,1.0,0,0
5,ATGT,AND,4,5,10,9,112,7.0,1.0,0,21
5,Espresso,AND,4,4,9,11,107,9.0,1.0,0,48
5,JBool,AND,4,4,9,11,107,11.0,1.0,0,0
5,QM,AND,4,4,9,12,101,12.0,1.0,0,30
6,Naïve,AND,2,5,8,6,85,4.0,3.0,0,0
6,OnlySelec,AND,2,5,8,6,85,4.0,1.0,0,0
6,ATGT,AND,2,5,8,6,85,4.0,1.0,0,0
6,Espresso,AND,2,4,7,8,80,6.0,1.0,0,47
6,JBool,AND,2,4,7,8,80,8.0,1.0,0,0
6,QM,AND,2,4,8,12,94,12.0,1.0,0,31
7,Naïve,AND,3,5,9,7,91,5.0,4.0,0,0
7,OnlySelec,AND,3,5,9,7,93,5.0,1.0,0,0
7,ATGT,AND,3,5,9,7,93,5.0,1.0,0,5
7,Espresso,AND,3,4,8,9,88,7.0,1.0,0,99
7,JBool,AND,3,4,8,9,88,9.0,1.0,0,0
7,QM,AND,3,4,7,10,82,9.0,1.0,0,27
8,Naïve,AND,4,5,10,11,110,9.0,5.0,0,0
8,OnlySelec,AND,4,5,10,11,114,9.0,1.0,0,0
8,ATGT,AND,4,5,10,11,114,9.0,1.0,0,0
8,Espresso,AND,4,4,9,13,109,11.0,1.0,0,47
8,JBool,AND,4,4,9,11,107,11.0,1.0,0,0
8,QM,AND,4,4,9,12,105,11.0,1.0,0,31
9,Naïve,AND,4,5,10,10,109,8.0,5.0,0,0
9,OnlySelec,AND,4,5,10,10,113,8.0,1.0,0,0
9,ATGT,AND,4,5,10,10,113,8.0,1.0,0,16
9,Espresso,AND,4,4,9,12,108,10.0,1.0,0,62
9,JBool,AND,4,4,9,12,108,12.0,1.0,0,0
9,QM,AND,4,4,10,13,119,13.0,1.0,0,13698
10,Naïve,OR,3,5,12,11,133,12.0,2.0,0,0
10,OnlySelec,OR,3,5,12,11,133,12.0,2.0,0,31
10,ATGT,OR,3,5,10,8,118,9.0,2.0,0,48
10,Espresso,OR,3,4,11,14,126,14.0,2.0,0,147
10,JBool,OR,3,4,7,10,76,10.0,2.0,0,18
10,QM,OR,3,4,7,10,76,9.0,2.0,0,84
11,Naïve,AND,4,5,10,10,109,8.0,5.0,0,0
11,OnlySelec,AND,4,5,10,10,113,8.0,1.0,0,0
11,ATGT,AND,4,5,9,8,104,6.0,1.0,0,0
11,Espresso,AND,4,4,9,12,108,10.0,1.0,0,54
11,JBool,AND,4,4,9,12,108,12.0,1.0,0,0
11,QM,AND,4,4,6,8,70,7.0,1.0,0,25
12,Naïve,AND,3,5,9,10,104,8.0,4.0,0,0
12,OnlySelec,AND,3,5,9,10,106,8.0,1.0,0,0
12,ATGT,AND,3,5,9,10,106,8.0,1.0,0,0
12,Espresso,AND,3,4,8,12,101,10.0,1.0,0,47
12,JBool,AND,3,4,8,9,98,9.0,1.0,0,0
12,QM,AND,3,4,7,8,87,6.0,1.0,0,33
13,Naïve,OR,3,5,12,13,141,14.0,2.0,0,0
13,OnlySelec,OR,3,5,12,13,141,14.0,2.0,0,21
13,ATGT,OR,3,5,10,9,122,10.0,2.0,0,31
13,Espresso,OR,3,4,11,16,134,16.0,2.0,0,153
13,JBool,OR,3,4,7,11,80,11.0,2.0,0,31
13,QM,OR,3,4,7,11,80,10.0,2.0,0,85
14,Naïve,AND,3,5,9,8,102,6.0,4.0,0,0
14,OnlySelec,AND,3,5,9,8,104,6.0,1.0,0,0
14,ATGT,AND,3,5,9,8,104,6.0,1.0,0,0
14,Espresso,AND,3,4,8,10,99,8.0,1.0,0,69
14,JBool,AND,3,4,8,10,99,10.0,1.0,0,0
14,QM,AND,3,4,10,13,129,13.0,1.0,0,234
15,Naïve,AND,2,5,8,7,83,5.0,3.0,0,0
15,OnlySelec,AND,2,5,8,7,83,5.0,1.0,0,0
15,ATGT,AND,2,5,8,7,83,5.0,1.0,16,0
15,Espresso,AND,2,4,7,9,78,7.0,1.0,0,63
15,JBool,AND,2,4,7,9,78,9.0,1.0,0,0
15,QM,AND,2,4,8,10,86,9.0,1.0,0,16
16,Naïve,AND,3,5,9,8,102,6.0,4.0,0,0
16,OnlySelec,AND,3,5,9,8,104,6.0,0.0,0,0
16,ATGT,AND,3,5,9,8,104,6.0,0.0,0,0
16,Espresso,AND,3,4,8,10,99,8.0,0.0,0,52
16,JBool,AND,3,4,8,10,99,9.0,0.0,0,0
16,QM,AND,3,4,7,9,91,8.0,0.0,0,22
17,Naïve,AND,4,5,10,10,109,8.0,5.0,0,0
17,OnlySelec,AND,4,5,10,10,113,8.0,1.0,0,0
17,ATGT,AND,4,5,10,10,113,8.0,1.0,0,0
17,Espresso,AND,4,4,9,12,108,10.0,1.0,0,47
17,JBool,AND,4,4,9,12,108,11.0,1.0,0,0
17,QM,AND,4,4,9,11,110,11.0,1.0,0,32
18,Naïve,AND,2,5,8,8,94,6.0,3.0,0,0
18,OnlySelec,AND,2,5,8,8,94,6.0,0.0,0,0
18,ATGT,AND,2,5,8,8,94,6.0,0.0,0,16
18,Espresso,AND,2,4,7,10,89,8.0,0.0,0,50
18,JBool,AND,2,4,7,8,87,9.0,0.0,0,0
18,QM,AND,2,4,8,9,105,8.0,0.0,0,20
19,Naïve,OR,4,5,14,13,153,14.0,3.0,0,0
19,OnlySelec,OR,4,5,10,8,107,7.0,2.0,0,39
19,ATGT,OR,4,5,9,6,100,5.0,2.0,0,31
19,Espresso,OR,4,5,10,9,105,8.0,2.0,0,85
19,JBool,OR,4,5,10,9,107,9.0,2.0,0,16
19,QM,OR,4,5,8,6,82,5.0,2.0,0,51
20,Naïve,OR,4,5,14,15,155,16.0,3.0,0,0
20,OnlySelec,OR,4,5,10,9,108,8.0,2.0,0,36
20,ATGT,OR,4,5,9,7,101,6.0,2.0,0,31
20,Espresso,OR,4,5,10,10,106,9.0,2.0,0,85
20,JBool,OR,4,5,10,10,108,10.0,2.0,0,31
20,QM,OR,4,5,8,7,83,6.0,2.0,0,53
21,Naïve,AND,1,5,7,6,85,3.0,2.0,0,0
21,OnlySelec,AND,1,5,7,6,87,4.0,0.0,0,0
21,ATGT,AND,1,4,5,7,64,7.0,0.0,0,2
21,Espresso,AND,1,4,6,6,78,4.0,0.0,0,54
