step,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
0,OnlySelec,AND,1,33,116,183,2552,58.0,-39.0,366194128,337051,0
0,JBool,AND,1,31,77,115,1793,231.0,-107.0,332009530,6318704500,0
1,OnlySelec,AND,2,33,118,188,2613,63.0,-34.0,358771094,807209,0
1,JBool,AND,2,31,79,117,1851,230.0,-105.0,28541209,1163101225,0
2,OnlySelec,AND,1,34,119,191,2638,66.0,-31.0,47988406,64514,0
2,JBool,AND,1,32,80,118,1872,231.0,-104.0,29228134,1200962155,0
3,OnlySelec,AND,1,35,120,194,2665,69.0,-28.0,182672795,100620,0
3,JBool,AND,1,33,81,119,1895,231.0,-103.0,89673589,525614743,0
4,OnlySelec,AND,1,36,121,197,2693,72.0,-25.0,209306061,498457,0
4,JBool,AND,1,34,82,120,1919,231.0,-102.0,24133172,413879072,0
5,OnlySelec,AND,1,37,122,200,2727,75.0,-22.0,26099800,55160,0
5,JBool,AND,1,35,83,121,1949,231.0,-101.0,12810909,809519429,0
6,OnlySelec,AND,1,38,123,204,2757,78.0,-18.0,121542320,141746,0
6,JBool,AND,1,36,84,123,1975,231.0,-99.0,117655797,336784441,0
7,OnlySelec,AND,2,38,125,207,2824,81.0,-15.0,64861915,175619,0
7,JBool,AND,2,36,86,126,2042,230.0,-96.0,103408277,171707477,0
8,OnlySelec,OR,35,38,160,260,3728,131.0,38.0,64861915,175619,0
8,JBool,OR,35,36,96,146,2249,228.0,-76.0,103408277,171707477,0
9,OnlySelec,OR,35,38,195,311,4630,178.0,89.0,64861915,175619,0
9,JBool,OR,35,36,90,134,2139,229.0,-88.0,103408277,171707477,0
10,OnlySelec,OR,35,38,230,352,5522,215.0,130.0,64861915,175619,0
10,JBool,OR,35,36,125,175,3031,232.0,-47.0,103408277,171707477,0
11,OnlySelec,OR,35,38,265,395,6416,254.0,173.0,64861915,175619,0
11,JBool,OR,35,36,124,181,3207,231.0,-41.0,103408277,171707477,0
12,OnlySelec,OR,36,38,301,443,7347,298.0,221.0,64861915,175619,0
12,JBool,OR,36,36,155,235,4092,239.0,13.0,103408277,171707477,0
13,OnlySelec,OR,36,38,337,489,8276,340.0,267.0,64861915,175619,0
13,JBool,OR,36,36,131,193,3418,230.0,-29.0,103408277,171707477,0
14,OnlySelec,OR,36,38,337,489,8276,340.0,267.0,64861915,175619,0
14,JBool,OR,36,36,131,193,3418,230.0,-29.0,103408277,171707477,0
