step,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
0,OnlySelec,OR,35,38,150,233,3433,105.0,11.0,0,0,0
0,JBool,OR,35,36,104,158,2291,226.0,-64.0,0,0,0
1,OnlySelec,OR,35,38,185,284,4335,152.0,62.0,0,0,0
1,JBool,OR,35,36,98,146,2181,226.0,-76.0,0,0,0
2,OnlySelec,OR,35,38,220,325,5227,189.0,103.0,0,0,0
2,JBool,OR,35,36,133,187,3073,235.0,-35.0,0,0,0
3,OnlySelec,OR,35,38,255,368,6121,228.0,146.0,0,0,0
3,JBool,OR,35,36,150,218,3794,236.0,-4.0,0,0,0
4,OnlySelec,OR,36,38,291,416,7052,272.0,194.0,0,0,0
4,JBool,OR,36,36,181,272,4679,255.0,50.0,0,0,0
5,OnlySelec,OR,36,38,327,462,7981,314.0,240.0,0,0,0
5,JBool,OR,36,36,157,230,4005,240.0,8.0,0,0,0
6,OnlySelec,AND,1,38,328,465,8004,318.0,243.0,46391035,258541,0
6,JBool,AND,1,36,152,223,3891,238.0,1.0,15378606,124333932,0
7,OnlySelec,AND,2,38,330,470,8065,323.0,248.0,49467582,70276,0
7,JBool,AND,2,36,154,225,3949,238.0,3.0,12850590,226528716,0
8,OnlySelec,AND,1,38,331,473,8090,326.0,251.0,46817804,69109,0
8,JBool,AND,1,36,149,218,3833,235.0,-4.0,13594287,126445691,0
9,OnlySelec,AND,1,38,332,476,8117,329.0,254.0,52969443,49696,0
9,JBool,AND,1,36,144,211,3715,234.0,-11.0,7605632,101506270,0
10,OnlySelec,AND,1,38,333,479,8145,332.0,257.0,38822427,65839,0
10,JBool,AND,1,36,139,204,3596,232.0,-18.0,10018388,87139869,0
11,OnlySelec,AND,1,38,334,482,8179,335.0,260.0,37098543,57825,0
11,JBool,AND,1,36,134,197,3471,231.0,-25.0,10307778,102299591,0
12,OnlySelec,AND,1,38,335,486,8209,338.0,264.0,42987212,45857,0
12,JBool,AND,1,36,129,189,3350,230.0,-33.0,10708127,91471436,0
13,OnlySelec,AND,2,38,337,489,8276,341.0,267.0,38142171,44665,0
13,JBool,AND,2,36,131,192,3417,232.0,-30.0,7321708,81552004,0
14,OnlySelec,AND,2,38,337,489,8276,341.0,267.0,38142171,44665,0
14,JBool,AND,2,36,131,192,3417,232.0,-30.0,7321708,81552004,0
