step,method,type,flit,feat,lit,op,chars,BFED,BFCD,timeSelection,timeSimplification,timeTotal
0,Espresso,AND,1,0,0,0,0,-1,-1,97883082,67272320,0
1,Espresso,AND,2,0,0,0,0,-1,-1,89673384,54767750,0
2,Espresso,AND,2,0,0,0,0,-1,-1,44273874,55983342,0
3,Espresso,AND,2,0,0,0,0,-1,-1,40419115,52525832,0
4,Espresso,AND,2,0,0,0,0,-1,-1,49919268,51395063,0
5,Espresso,AND,2,0,0,0,0,-1,-1,38411743,53616153,0
6,Espresso,AND,2,0,0,0,0,-1,-1,36291173,51259528,0
7,Espresso,AND,2,0,0,0,0,-1,-1,37914881,51537541,0
8,Espresso,AND,2,0,0,0,0,-1,-1,37386927,53131063,0
9,Espresso,AND,2,0,0,0,0,-1,-1,36278797,50729160,0
10,Espresso,AND,2,0,0,0,0,-1,-1,38263530,51714130,0
11,Espresso,AND,2,0,0,0,0,-1,-1,46094092,53829870,0
12,Espresso,AND,2,0,0,0,0,-1,-1,34831980,52174165,0
13,Espresso,AND,2,0,0,0,0,-1,-1,31938949,52143677,0
14,Espresso,AND,2,0,0,0,0,-1,-1,31697160,52228802,0
15,Espresso,AND,2,0,0,0,0,-1,-1,33522811,52236348,0
16,Espresso,AND,2,0,0,0,0,-1,-1,42509801,53535858,0
17,Espresso,AND,2,0,0,0,0,-1,-1,43229738,51470226,0
18,Espresso,AND,2,0,0,0,0,-1,-1,46701435,52706949,0
19,Espresso,AND,2,0,0,0,0,-1,-1,50452957,51961052,0
20,Espresso,AND,2,0,0,0,0,-1,-1,33366749,51024077,0
21,Espresso,AND,2,0,0,0,0,-1,-1,32244734,52337169,0
22,Espresso,AND,2,0,0,0,0,-1,-1,31676029,51308430,0
23,Espresso,AND,2,0,0,0,0,-1,-1,31976380,51474151,0
24,Espresso,AND,2,0,0,0,0,-1,-1,31799188,56969218,0
25,Espresso,AND,2,0,0,0,0,-1,-1,40601137,55791057,0
26,Espresso,AND,2,0,0,0,0,-1,-1,34903219,51863249,0
27,Espresso,AND,2,0,0,0,0,-1,-1,33430744,50933820,0
28,Espresso,AND,2,0,0,0,0,-1,-1,33236346,52241178,0
29,Espresso,AND,2,0,0,0,0,-1,-1,32860227,52312719,0
30,Espresso,AND,2,0,0,0,0,-1,-1,32121273,52744077,0
31,Espresso,AND,2,0,0,0,0,-1,-1,32581912,52725664,0
32,Espresso,AND,2,0,0,0,0,-1,-1,33083604,51173196,0
33,Espresso,AND,2,0,0,0,0,-1,-1,33121638,52149714,0
34,Espresso,AND,2,0,0,0,0,-1,-1,32375137,51382989,0
35,Espresso,AND,2,0,0,0,0,-1,-1,33376107,52844295,0
36,Espresso,AND,2,0,0,0,0,-1,-1,32369402,53589891,0
37,Espresso,AND,2,0,0,0,0,-1,-1,32619041,52912214,0
38,Espresso,AND,2,0,0,0,0,-1,-1,34230674,53106310,0
39,Espresso,AND,2,0,0,0,0,-1,-1,40922920,52332944,0
40,Espresso,AND,2,0,0,0,0,-1,-1,40934693,53302217,0
41,Espresso,AND,2,0,0,0,0,-1,-1,49260306,51596102,0
42,Espresso,AND,2,0,0,0,0,-1,-1,53921635,52131904,0
43,Espresso,AND,2,0,0,0,0,-1,-1,53556384,52115604,0
44,Espresso,AND,2,0,0,0,0,-1,-1,54539845,50826056,0
45,Espresso,AND,2,0,0,0,0,-1,-1,55169526,53425377,0
46,Espresso,AND,2,0,0,0,0,-1,-1,53893562,53378890,0
47,Espresso,AND,2,0,0,0,0,-1,-1,40691695,53599852,0
48,Espresso,AND,2,0,0,0,0,-1,-1,41261306,52688837,0
49,Espresso,AND,2,0,0,0,0,-1,-1,41800127,50286631,0
50,Espresso,AND,2,0,0,0,0,-1,-1,41891288,53416622,0
51,Espresso,AND,2,0,0,0,0,-1,-1,50570682,52573526,0
52,Espresso,AND,4,0,0,0,0,-1,-1,66260181,53819003,0
53,Espresso,AND,3,0,0,0,0,-1,-1,79936573,53604078,0
54,Espresso,AND,3,0,0,0,0,-1,-1,66381529,53546120,0
55,Espresso,AND,2,0,0,0,0,-1,-1,43882360,51868984,0
